baseline_model,participant_id,group,n_trials,n_unique_winner_trials,n_tied_human_trials,strict_unique_winner_accuracy,tie_compatible_accuracy,top2_hit_rate,mean_spearman,mean_ndcg,mae,rmse,mean_predicted_winner_probability,mean_observed_winner_probability_mass,mean_entropy,mean_top2_margin,mean_expected_draws_outside_0_100_prop,predicted_exact_tie_count
primary_acoustic,P021,group_01,6,3,3,0.0,0.3333333333333333,0.8333333333333334,0.020272626962312457,0.9856519312097681,7.642295369230419,9.37536767807521,0.8650000000000001,0.35600000000000004,0.44092326447569774,0.7436666666666666,0.0,0
primary_acoustic,P022,group_01,6,6,0,0.5,0.5,1.0,0.5333333333333333,0.913412853238008,28.889033186882514,31.28795302646374,0.8456666666666667,0.4616666666666666,0.4798908964368073,0.7098333333333332,0.0,0
primary_acoustic,P023,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.35000000000000003,0.9191911943864413,23.768815401099452,28.210206758994726,0.8135,0.215,0.38782803086329304,0.6313333333333334,3.3333333333333335e-05,0
primary_acoustic,P024,group_01,6,6,0,0.6666666666666666,0.6666666666666666,1.0,0.7333333333333333,0.950417232497868,29.423857852234622,32.097820640543425,0.8328333333333333,0.6075,0.5215912509317195,0.6865,0.0,0
primary_acoustic,P025,group_01,6,6,0,0.5,0.5,1.0,0.7666666666666666,0.973198726110224,27.43376063518677,30.14439123048045,0.8386666666666667,0.4775,0.5303774603484749,0.7056666666666667,0.0,0
primary_acoustic,P026,group_02,6,6,0,0.5,0.5,0.5,0.08333333333333333,0.9235726787591075,24.848278755339532,31.893555602746737,0.7899999999999999,0.36399999999999993,0.38754749494439755,0.5830000000000001,0.0005666666666666666,0
primary_acoustic,P027,group_02,6,6,0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6,0.9021224735407675,23.83235008054088,27.964339239668067,0.8333333333333334,0.4873333333333334,0.3469149408220163,0.6683333333333333,0.0011666666666666668,0
primary_acoustic,P028,group_01,6,6,0,0.0,0.0,0.8333333333333334,0.5333333333333333,0.9134338423166602,32.22137012790532,34.363922563729105,0.8601666666666667,0.09400000000000001,0.47656925917673515,0.7458333333333332,0.0,0
primary_acoustic,P029,group_02,6,6,0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.9548837960403289,23.69336135880709,28.019191256757427,0.7735,0.6073333333333334,0.4021164054758797,0.5503333333333332,0.0031,0
primary_acoustic,P030,group_02,6,6,0,0.5,0.5,0.5,0.6,0.9313615016793734,25.138266367102506,28.39161274250919,0.806,0.3106666666666667,0.3614297622972949,0.6135,0.00016666666666666666,0
