artist,song,mix_id,source_path,decoder_backend,soundfile_version,libsndfile_version,decoder_mp3_support,sample_rate,decoded_channels,decoded_frame_count,soundfile_info_frame_count,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames,reported_duration_seconds,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,notes
The DoneFors,Lead Me,mix_9346b5d4ade2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_5aa762fa5def,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-B.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_7b5a2d66116b,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-C.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_4181778a6cfd,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-D.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_28932c4bb152,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-E.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_e245880b329a,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-F.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_e0abc393175b,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-G.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_427e3b105a59,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-H.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847306,false,4234,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames
The DoneFors,Lead Me,mix_fa064711a381,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-pro.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847312,false,4240,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4240_frames
The DoneFors,Lead Me,mix_d3e3580b6e30,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-pro2.mp3,soundfile,0.14.0,1.2.2,true,48000,2,3843072,3847312,false,4240,80.064000,80.064000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4240_frames
The DoneFors,Lead Me,mix_d5b28dfc8a93,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L1.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_92e2bdebe300,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L2.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_3bc79ea82599,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L3.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_c7d9a071ba25,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L4.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_864280f1b98b,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-A.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3553920,3553920,true,0,80.587755,80.587755102,0.000000000,true,true,full_decode_verified_from_sf_read
