artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes,soundfile_version,libsndfile_version,decoder_mp3_support,decoded_frame_count,soundfile_info_frame_count,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,decode_verification_notes,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames
Fredy V,In The Meantime,mix_f44b598b8cf8,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.557460,-0.557460,0.851492,0.500626,0.350865,0.888619,0.557460,74.563424,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_526612c31256,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S7.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.025488,-1.025488,0.711950,0.435016,0.276934,0.783963,1.025488,75.031452,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-A.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,74.971429,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_c7bdcba64775,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,-0.010431,-0.010431,0.866635,0.446812,0.419823,0.899976,0.010431,74.981860,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_82d5489162f9,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-C.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,0.014512,0.014512,0.802717,0.486477,0.316241,0.852038,-0.014512,74.956917,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_a31f439e1e87,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-G.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,0.014512,0.014512,0.861068,0.468636,0.392432,0.895801,-0.014512,74.956917,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_2f518e7b8633,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-I.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,-0.000454,-0.000454,0.882668,0.487159,0.395510,0.912001,0.000454,74.971883,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_8187ac605f62,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-J.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,-0.000454,-0.000454,0.802715,0.449119,0.353596,0.852036,0.000454,74.971883,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_cdaef40f2b94,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-pro.mp3,mix_13f0eed08780,soundfile,44100,2,74.971429,-0.003537,-0.003537,0.721100,0.399085,0.322015,0.790825,0.003537,74.974966,74.971429,true,,,0.14.0,1.2.2,true,3306240,3306240,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_3042da8a2eb5,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,mix_13f0eed08780,soundfile,44100,2,75.024739,-0.532517,-0.532517,0.808968,0.479765,0.329203,0.856726,0.532517,75.557256,75.024739,true,,,0.14.0,1.2.2,true,3308591,3308591,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,mix_13f0eed08780,soundfile,44100,2,75.024739,-0.557460,-0.557460,0.854776,0.492591,0.362184,0.891082,0.557460,75.582199,75.024739,true,,,0.14.0,1.2.2,true,3308591,3308591,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_d58db5dccea3,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A3.mp3,mix_13f0eed08780,soundfile,44100,2,75.024739,-0.557460,-0.557460,0.827492,0.462684,0.364808,0.870619,0.557460,75.582199,75.024739,true,,,0.14.0,1.2.2,true,3308591,3308591,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_efdedc0a36e7,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,mix_13f0eed08780,soundfile,44100,2,75.024739,-0.557460,-0.557460,0.816398,0.433844,0.382554,0.862299,0.557460,75.582199,75.024739,true,,,0.14.0,1.2.2,true,3308591,3308591,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_e858d5cf22ea,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A5.mp3,mix_13f0eed08780,soundfile,44100,2,75.024739,-0.557460,-0.557460,0.822423,0.429565,0.392858,0.866817,0.557460,75.582199,75.024739,true,,,0.14.0,1.2.2,true,3308591,3308591,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_95d77ba996e4,MG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\Mixgenius.mp3,,not_decoded,48000,2,80.064000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,80.064000,80.064000,false,automated_or_system_generated,,,,,,,,,,,not_retained,,
The DoneFors,Lead Me,mix_b5102e72a550,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-5.mp3,mix_271852ba8676,soundfile,44100,2,80.013061,-0.018231,-0.018231,0.853808,0.584137,0.269670,0.890356,0.018231,80.031292,80.013061,true,,,0.14.0,1.2.2,true,3528576,3528576,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
