artist,song,component,feature,loading,retained
Broken Crank,Red To Blue,bark_pc_03,bark_mid_12,-0.12099674426,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_13,-0.220843987762,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_14,-0.172507266596,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_15,-0.398082500961,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_16,-0.141900157377,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_17,-0.116640706207,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_18,-0.296184255865,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_19,-0.271798014774,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_20,-0.213833987152,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_21,-0.210387648027,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_22,-0.176328026941,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_23,-0.0887745251056,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_24,-0.0165585799836,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_01,0.0596739540132,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_02,0.0312528506904,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_03,0.0514118026871,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_04,0.0537108634666,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_05,0.0869338864488,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_06,0.0556293126344,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_07,0.0575087304251,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_08,0.0408841904188,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_09,0.0391679531567,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_10,0.0190593535407,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_11,0.0268426454405,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_12,0.0314473892618,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_13,0.0153342175741,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_14,0.0326346623271,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_15,0.0240336151435,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_16,-0.0072947435696,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_17,-0.0257952842629,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_18,-0.0522465957796,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_19,-0.157889181084,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_20,-0.191546241128,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_21,-0.196206964138,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_22,-0.138833359781,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_23,-0.0558603792148,true
Broken Crank,Red To Blue,bark_pc_03,bark_side_24,-0.00218635376266,true
