artist,song,mix_i,mix_i_original_name,mix_j,mix_j_original_name,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,manhattan_distance,near_duplicate_flag
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_2d589c003982,PXL-S2,1.50726150465,0.99040428076,1.13619391129,1.42255151331,4.3777293486,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_2eae3034bad8,PXL-S1,2.02488642887,1.80244238748,0.922695231186,2.03137634329,4.96282462555,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_2f518e7b8633,QUT-I,1.55665660996,1.04529179524,1.15349246383,1.56868018699,4.28443505904,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_302f0efe8a80,DU-H,2.04027626528,1.55705999091,1.31844280246,2.0223437691,5.16924013661,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_3042da8a2eb5,UCP-A1,1.57437233746,1.23723775578,0.973596935401,1.58335711803,4.33782361745,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_526612c31256,PXL-S7,1.67905518052,1.44428097552,0.856316975767,1.68860774016,4.13530088794,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_5383540067d5,McG-B,1.35891854129,1.01721496843,0.901073420909,1.37231110767,3.70035737904,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_54ac02ce9456,PXL-S5,1.46870209214,1.24927854758,0.7722622262,1.4991741084,3.59171100752,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_561c0e17caee,DU-L,1.84451469863,1.04240580019,1.52171765488,1.8198402688,5.0941815605,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_56e65a3ce054,DU-K,2.37152731401,1.73660761339,1.61503430248,2.39031101662,6.68259789836,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_67624d91340a,PXL-S4,1.69290620122,1.22666413615,1.16671611938,1.69641540304,4.59566895912,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_690c5c454a9f,McG-pro2,1.62503073912,0.931014528739,1.33189220673,1.60487451724,4.10968570962,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_6cfa655049d5,DU-M,1.56117900804,1.1480771126,1.05792194356,1.58621762985,4.06256045651,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_7a5719f17171,McG-E,1.64736246616,1.33178497163,0.969614296635,1.67681000481,4.21165605207,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_8137541fd01f,PXL-S3,1.75276452281,1.64438160968,0.606788755823,1.79685990269,3.88867557933,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_8187ac605f62,QUT-J,1.52552707944,1.11802474311,1.03790825409,1.45976468025,4.50471691645,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_82d5489162f9,QUT-C,1.53264834687,1.18795335052,0.968389277183,1.55988247974,3.8378040906,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_8ffed8205048,McG-A,1.14256267767,1.02786394406,0.498944069912,1.14255970271,2.83715467647,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_96c30e75e4a7,McG-H,1.74464032296,1.22861969256,1.23865390951,1.75081091176,4.375858715,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_9baa86357fd4,DU-I,2.13943747994,1.56670534339,1.45692384755,2.07834141481,6.00181732676,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_a31f439e1e87,QUT-G,1.45871209937,1.30208906021,0.657575142582,1.4927271677,3.64053400281,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_c45aea9558f2,McG-G,1.3271159636,1.18114453267,0.6050903848,1.34311041545,3.00150521292,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_c7bdcba64775,QUT-B,4.23331530228,1.20464208387,4.05829963141,4.24215897373,7.78812605868,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_cdaef40f2b94,QUT-pro,1.50532160577,0.987427459403,1.13621307386,1.52041754727,3.94707863204,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_ce153583405d,McG-F,1.56142281317,1.16922345157,1.03487087204,1.58322338435,4.01040388925,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_d58db5dccea3,UCP-A3,1.10493689056,0.896684246282,0.645633715499,1.10689494402,3.08062628296,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_da9f94cae537,McG-D,1.53670500437,1.21301560574,0.943427480356,1.54667162548,4.09766998078,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_e858d5cf22ea,UCP-A5,1.58489258912,1.30558166523,0.898521582634,1.60662644744,3.9084470469,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_efdedc0a36e7,UCP-A4,1.16164679555,1.00951306689,0.574723103237,1.17262243566,2.77607442913,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_f44b598b8cf8,PXL-S6,1.71880027591,1.3909795473,1.00967830889,1.75159523034,3.9157970286,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_20a1372ac49d,UCP-A2,0.981541585283,0.445898661579,0.874413098736,0.922077096849,2.6704126829,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_22efc79c8253,DU-J,5.22931804368,5.1145342691,1.08963590809,5.34143857341,8.62214774367,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_29131e66c9d7,DU-N,0.884390413789,0.370075447398,0.803237553426,0.829309209304,2.59717571213,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_2d589c003982,PXL-S2,1.15571785016,0.842168358284,0.791477229916,0.909318945808,2.95272318012,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_2eae3034bad8,PXL-S1,1.12093365544,0.850074659044,0.730660888478,0.969488085396,3.09700502414,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_2f518e7b8633,QUT-I,1.11409452662,0.41705386593,1.03308890573,1.06044498307,2.99474849603,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_302f0efe8a80,DU-H,1.121850137,0.459644696578,1.02336429623,1.09226413718,2.44700383375,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_3042da8a2eb5,UCP-A1,0.948355597176,0.494038098411,0.80950892275,0.848207175281,2.70917861275,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_526612c31256,PXL-S7,1.04311487207,0.74022435352,0.734953428996,0.936377452775,3.10523941555,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_5383540067d5,McG-B,1.10103884514,0.504941331966,0.978427713108,1.10765512701,2.91540364968,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_54ac02ce9456,PXL-S5,0.87587209179,0.268863502084,0.83358523165,0.869035977791,2.34848685545,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_561c0e17caee,DU-L,1.49113690915,0.677262834307,1.32845938406,1.38239451237,4.05928319399,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_56e65a3ce054,DU-K,1.74060789322,0.893889130838,1.49354546624,1.68389780599,5.0364666489,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_67624d91340a,PXL-S4,1.13573428476,0.579849409961,0.976558767994,1.04407868923,2.85194665558,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_690c5c454a9f,McG-pro2,1.30170061677,0.696319764834,1.09980147335,1.20074771514,3.38473975797,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_6cfa655049d5,DU-M,0.931480865077,0.237829656638,0.900607381953,0.919109819576,2.48953867835,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_7a5719f17171,McG-E,0.895558302969,0.251243280543,0.859593792439,0.892845079271,2.50556511471,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_8137541fd01f,PXL-S3,0.828383410399,0.56953046022,0.601543123563,0.795801159329,2.4408522513,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_8187ac605f62,QUT-J,1.16301537122,0.739775344336,0.897405813221,0.939217174752,3.03057865312,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_82d5489162f9,QUT-C,1.07978392861,0.473545855141,0.97040592309,1.07438844152,3.32018308408,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_8ffed8205048,McG-A,0.630041617796,0.209746126616,0.594103528456,0.628883520851,1.60143864128,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_96c30e75e4a7,McG-H,1.03955900825,0.557810921196,0.877228537973,0.946180768999,2.60996499603,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_9baa86357fd4,DU-I,1.69651387796,1.10649721008,1.28601059957,1.50695796387,5.08307505345,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_a31f439e1e87,QUT-G,1.07894575517,0.546886778577,0.930074617448,1.06237282885,3.13562453296,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_c45aea9558f2,McG-G,0.867022293678,0.292616058097,0.816151640493,0.869861912138,2.42427284213,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_c7bdcba64775,QUT-B,3.87894481373,0.452173136101,3.85249949032,3.86889023019,6.15145311183,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_cdaef40f2b94,QUT-pro,1.63660803579,0.928486942101,1.34773805361,1.62442154253,4.5286251333,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_ce153583405d,McG-F,1.20658084188,0.602185833253,1.04556661682,1.17642230214,3.1366029433,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_d58db5dccea3,UCP-A3,1.05989272329,0.584113691335,0.884411544743,0.992564954241,3.1641743176,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_da9f94cae537,McG-D,1.19127108981,0.507412711111,1.07780292726,1.19661794836,3.33716392476,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_e858d5cf22ea,UCP-A5,0.969553935157,0.415037843301,0.876229662706,0.901480586013,2.6269207115,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_efdedc0a36e7,UCP-A4,0.841472982439,0.411871625196,0.733783717817,0.758752957675,2.60390784818,0
Fredy V,In The Meantime,mix_145577f61939,McG-C,mix_f44b598b8cf8,PXL-S6,0.791929738748,0.421203295752,0.670626941572,0.761142596036,2.41360716981,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_22efc79c8253,DU-J,5.42915220316,5.29939486703,1.17987613261,5.57629266925,9.20684571077,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_29131e66c9d7,DU-N,1.2785037261,0.327379341357,1.23587804597,1.28059282209,3.52872012758,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_2d589c003982,PXL-S2,0.94960817207,0.500903356062,0.806753685053,0.875021750097,2.79539247724,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_2eae3034bad8,PXL-S1,1.04886097014,0.764974142555,0.717581978529,1.03669069702,3.06389561718,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_2f518e7b8633,QUT-I,0.954677636009,0.451694103718,0.841059941598,0.961096224327,2.80076933089,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_302f0efe8a80,DU-H,1.8432390994,0.810242481938,1.65560789381,1.74233704956,4.42315033567,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_3042da8a2eb5,UCP-A1,0.424717113575,0.173840211929,0.387510267322,0.417821469496,1.19745234448,1
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_526612c31256,PXL-S7,0.82131184327,0.468903543922,0.67430157229,0.817360852254,2.53292713881,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_5383540067d5,McG-B,1.084975014,0.616795203255,0.892599830971,1.04580421895,2.94806714481,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_54ac02ce9456,PXL-S5,1.40918219805,0.512895825483,1.31252898615,1.39660099142,3.59587770469,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_561c0e17caee,DU-L,1.07724796205,0.389494975364,1.00436887442,1.05687797436,3.07572772859,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_56e65a3ce054,DU-K,1.81261144163,0.840190379712,1.60612588678,1.81905085372,5.17115008116,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_67624d91340a,PXL-S4,0.882382084932,0.239624213802,0.849222220604,0.876794118532,2.3790874533,0
Fredy V,In The Meantime,mix_20a1372ac49d,UCP-A2,mix_690c5c454a9f,McG-pro2,0.773457776397,0.34374319005,0.692876288498,0.757628021975,2.29202210253,0
