group,episode,song_id,stimulus_id,mix_id,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,55.125113489717194,55.137543428351044,4.911813515644556,45.9786998030194,64.3864311990013,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,50.317533358281445,50.278687892529454,4.887056401296722,41.21507319456911,59.702494035550856,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,39.16270682763617,39.06271344533975,4.953993960070067,29.209528959726224,47.864462400024514,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,45.891698167125526,46.01475990163746,4.8270366521989345,36.673319807846404,55.02686642663581,1.0,0.0
group_01,FM-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,47.209421320147584,47.225550029933245,4.967681291174654,37.875521801734074,56.46776114452767,1.0,0.0
group_01,FM-1,lead_me,lead_me_du_e,mix_271852ba8676,31.39430476426863,31.461342990529705,4.903860783758751,21.651196209122656,40.048166643974035,1.0,0.0
group_01,FM-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,53.822565875707454,53.897153089620176,4.9242191465895955,44.30589742759486,63.154582484980494,1.0,0.0
group_01,FM-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,40.96909394862353,40.979789686600526,4.929431081987444,31.61997578440389,50.13616784570332,1.0,0.0
group_01,FM-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,42.9096274542982,43.009652150803404,4.906346389522404,33.87450271420783,52.350128430665166,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,73.79795554924816,73.6971772618686,5.366663094552763,64.18774910764203,84.41002176448362,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,61.65605184478824,61.64788925872119,5.302192491891081,51.391481103006,71.22584067558523,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,28.02948725037381,27.96150055352945,5.496068273531351,17.64530870919112,38.26704234760056,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,49.291160033110245,49.280979904201416,5.378087433307178,39.34231629388243,59.387545730464154,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,60.797153480386676,60.74693981805076,5.493242539452523,50.47857181777035,71.08272604487824,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_pro1,mix_132e75f34470,74.49365218345201,74.33272283872273,5.383983368196313,64.55801201296839,84.98176720611235,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_r,mix_0ba76f420c1d,76.80342812798071,76.75157525465283,5.361952753871705,67.16201683688791,87.25809544426117,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_t,mix_be2ccd4c43ff,38.1380911574756,38.052398292887304,5.493469003350525,28.424846903767374,49.078917833913664,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_v,mix_e08faaf8bbb3,60.229641318427205,60.17161710050052,5.352458084941347,49.99700502839474,70.05950850041727,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_x,mix_cbf8555ee2b2,58.97883403501855,58.948634958878735,5.2932062412250875,48.73110042958591,68.43230856656659,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,75.9450448815053,75.87970414017968,5.359784827203423,66.06916577576885,85.90768607706592,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,63.80314117704538,63.74607330603518,5.266791954463703,54.17418706021491,73.82294163617657,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,30.176576582630958,30.077388382775982,5.454475599132861,20.395760273112387,40.59359580685661,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,51.43824936536739,51.40498918303315,5.304174894541485,41.73306863275081,61.39767454644597,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,62.944242812643814,62.93002184292339,5.399205753291064,52.557461259049155,72.62911157375952,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_pro1,mix_132e75f34470,76.64074151570915,76.60079078769917,5.349378079415395,66.97900243316936,87.35862188706723,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_r,mix_0ba76f420c1d,78.95051746023786,78.92185793518289,5.378398387124795,68.9476204085629,88.9493349251476,1.0,0.0
