song,bark_channel,bark_band,column,count,mean,standard_deviation
The DoneFors - Lead Me,mid,9,bark_mid_09,37,7.45543831748,0.190213197051
The DoneFors - Lead Me,mid,10,bark_mid_10,37,7.38150578576,0.20352793633
The DoneFors - Lead Me,mid,11,bark_mid_11,37,7.18542538463,0.215718425988
The DoneFors - Lead Me,mid,12,bark_mid_12,37,6.91847473866,0.239014360671
The DoneFors - Lead Me,mid,13,bark_mid_13,37,6.92703775457,0.262836988922
The DoneFors - Lead Me,mid,14,bark_mid_14,37,7.10131409362,0.232879419572
The DoneFors - Lead Me,mid,15,bark_mid_15,37,7.51044654846,0.224401599657
The DoneFors - Lead Me,mid,16,bark_mid_16,37,7.40635419536,0.216842636382
The DoneFors - Lead Me,mid,17,bark_mid_17,37,7.51533892348,0.235895268149
The DoneFors - Lead Me,mid,18,bark_mid_18,37,7.39251587842,0.248401747782
The DoneFors - Lead Me,mid,19,bark_mid_19,37,7.73725191323,0.260157134231
The DoneFors - Lead Me,mid,20,bark_mid_20,37,7.84916031038,0.28769618151
The DoneFors - Lead Me,mid,21,bark_mid_21,37,7.77152236732,0.291187958385
The DoneFors - Lead Me,mid,22,bark_mid_22,37,7.90556352203,0.334453337364
The DoneFors - Lead Me,mid,23,bark_mid_23,37,7.61678619642,0.361754381584
The DoneFors - Lead Me,mid,24,bark_mid_24,37,5.91308446833,0.510571340717
The DoneFors - Lead Me,side,1,bark_side_01,37,6.80391426344,0.474032012086
The DoneFors - Lead Me,side,2,bark_side_02,37,6.8289620683,0.350570413634
The DoneFors - Lead Me,side,3,bark_side_03,37,6.43516196431,0.308553167843
The DoneFors - Lead Me,side,4,bark_side_04,37,6.27960858474,0.32218688503
The DoneFors - Lead Me,side,5,bark_side_05,37,6.32591889356,0.317889586629
The DoneFors - Lead Me,side,6,bark_side_06,37,6.28896315033,0.325215053549
The DoneFors - Lead Me,side,7,bark_side_07,37,6.13928234255,0.320994490665
The DoneFors - Lead Me,side,8,bark_side_08,37,6.07968563647,0.314235726196
The DoneFors - Lead Me,side,9,bark_side_09,37,6.12934073886,0.29081736699
The DoneFors - Lead Me,side,10,bark_side_10,37,6.06599128569,0.294977998094
The DoneFors - Lead Me,side,11,bark_side_11,37,6.00003767014,0.322328059425
The DoneFors - Lead Me,side,12,bark_side_12,37,5.98540727512,0.397997093139
The DoneFors - Lead Me,side,13,bark_side_13,37,5.95029182692,0.392734255671
The DoneFors - Lead Me,side,14,bark_side_14,37,5.99753687833,0.348889319253
The DoneFors - Lead Me,side,15,bark_side_15,37,6.24163085061,0.320418600406
The DoneFors - Lead Me,side,16,bark_side_16,37,6.3005206005,0.322180879623
The DoneFors - Lead Me,side,17,bark_side_17,37,6.44638972669,0.357479132594
The DoneFors - Lead Me,side,18,bark_side_18,37,6.48413935223,0.375176349551
