,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[481],55.862,1.585,52.808,58.75,0.019,0.026,7053.0,3078.0,1.0
mu[482],65.766,1.66,62.692,68.867,0.02,0.026,7005.0,2744.0,1.0
mu[483],53.803,1.581,50.892,56.771,0.021,0.024,5828.0,3167.0,1.0
mu[484],63.707,1.655,60.715,66.892,0.022,0.025,5528.0,3211.0,1.0
mu[485],57.28,1.646,54.286,60.379,0.022,0.026,5469.0,2591.0,1.0
mu[486],58.268,1.568,55.062,60.991,0.019,0.024,6736.0,3108.0,1.0
mu[487],61.745,1.633,58.581,64.735,0.02,0.026,6398.0,3071.0,1.0
mu[488],68.172,1.649,65.059,71.237,0.02,0.026,6643.0,3051.0,1.0
mu[489],61.984,1.656,58.876,65.056,0.02,0.025,6955.0,3343.0,1.0
mu[490],58.507,1.588,55.506,61.426,0.019,0.024,7315.0,3333.0,1.0
mu[491],68.411,1.667,65.403,71.619,0.02,0.024,6841.0,3174.0,1.0
mu[492],58.082,1.576,54.947,60.962,0.019,0.026,7240.0,3324.0,1.0
mu[493],61.559,1.635,58.366,64.608,0.02,0.027,6674.0,3132.0,1.0
mu[494],67.986,1.659,64.744,70.99,0.02,0.026,6626.0,2825.0,1.0
mu[495],52.362,1.656,49.417,55.583,0.021,0.027,6340.0,3075.0,1.0
mu[496],62.528,1.664,59.496,65.673,0.019,0.026,7493.0,3113.0,1.0
mu[497],55.379,1.576,52.326,58.193,0.018,0.025,7308.0,3231.0,1.0
mu[498],60.469,1.658,57.389,63.54,0.022,0.025,5757.0,2741.0,1.0
mu[499],53.319,1.572,50.433,56.262,0.02,0.024,6067.0,3016.0,1.0
mu[500],50.303,1.651,47.267,53.363,0.022,0.026,5422.0,3189.0,1.0
mu[501],64.934,1.651,61.851,68.015,0.02,0.027,7030.0,2888.0,1.0
mu[502],57.785,1.559,54.728,60.554,0.019,0.024,7004.0,3139.0,1.0
mu[503],54.768,1.637,51.718,57.798,0.021,0.025,6224.0,2852.0,1.0
mu[504],65.173,1.682,62.096,68.315,0.02,0.025,7392.0,3406.0,1.0
mu[505],55.007,1.668,51.991,58.13,0.02,0.026,6706.0,3126.0,1.0
mu[506],58.024,1.582,55.1,60.945,0.018,0.024,7811.0,3420.0,1.0
mu[507],57.599,1.568,54.489,60.411,0.018,0.026,7522.0,3141.0,1.0
mu[508],54.582,1.639,51.486,57.655,0.021,0.027,6379.0,3226.0,1.0
mu[509],64.748,1.655,61.436,67.604,0.02,0.026,6915.0,3195.0,1.0
mu[510],64.721,1.623,61.626,67.674,0.017,0.026,8796.0,3152.0,1.0
mu[511],74.626,1.707,71.578,78.01,0.02,0.026,7262.0,3011.0,1.0
mu[512],68.198,1.695,65.086,71.368,0.019,0.026,7609.0,3201.0,1.0
mu[513],66.139,1.67,63.114,69.297,0.021,0.024,6056.0,3426.0,1.0
mu[514],62.662,1.595,59.726,65.702,0.019,0.024,7032.0,3208.0,1.0
mu[515],72.566,1.679,69.626,75.887,0.022,0.025,6055.0,2852.0,1.0
mu[516],77.031,1.695,73.883,80.17,0.02,0.027,7129.0,2971.0,1.0
mu[517],67.127,1.605,64.107,70.109,0.017,0.026,8940.0,3186.0,1.0
mu[518],70.604,1.679,67.446,73.688,0.019,0.026,7847.0,3210.0,1.0
mu[519],70.843,1.692,67.396,73.822,0.019,0.027,8003.0,3267.0,1.0
mu[520],67.366,1.615,64.284,70.318,0.017,0.028,9391.0,3154.0,1.0
mu[521],77.27,1.704,74.14,80.499,0.02,0.027,7383.0,2863.0,1.0
mu[522],66.941,1.58,63.854,69.723,0.017,0.024,8955.0,3565.0,1.0
mu[523],70.418,1.65,67.363,73.462,0.019,0.024,7379.0,3420.0,1.0
mu[524],76.846,1.674,73.733,80.017,0.02,0.026,7311.0,2911.0,1.0
