,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[699],64.902,1.81,61.538,68.27,0.023,0.028,6151.0,2915.0,1.0
mu[700],69.453,1.598,66.451,72.47,0.02,0.025,6185.0,2925.0,1.0
mu[701],68.531,2.257,64.391,72.831,0.031,0.033,5367.0,3058.0,1.0
mu[702],72.158,2.288,67.876,76.363,0.03,0.034,5871.0,3543.0,1.0
mu[703],68.253,1.621,65.241,71.305,0.021,0.029,5967.0,2228.0,1.0
mu[704],61.845,1.814,58.473,65.234,0.024,0.03,5500.0,3015.0,1.0
mu[705],68.942,1.695,65.639,71.976,0.021,0.027,6342.0,3269.0,1.0
mu[706],70.249,1.574,67.436,73.279,0.021,0.025,5793.0,3098.0,1.0
mu[707],67.908,1.661,64.657,70.9,0.021,0.027,6185.0,3051.0,1.0
mu[708],65.181,1.674,62.134,68.439,0.031,0.024,2978.0,3176.0,1.0
mu[709],66.801,1.618,63.688,69.726,0.024,0.025,4437.0,2993.0,1.0
mu[710],67.39,1.703,64.172,70.461,0.033,0.025,2609.0,3225.0,1.0
mu[711],70.784,1.67,67.791,74.018,0.021,0.026,6559.0,3190.0,1.0
mu[712],72.05,1.709,68.933,75.349,0.021,0.027,6697.0,3055.0,1.0
mu[713],72.537,1.601,69.452,75.407,0.02,0.027,6546.0,2980.0,1.0
mu[714],73.672,1.686,70.724,77.114,0.022,0.026,5902.0,3259.0,1.0
mu[715],72.01,1.605,69.155,75.1,0.02,0.025,6431.0,2923.0,1.0
mu[716],71.539,1.662,68.252,74.52,0.021,0.026,6151.0,3188.0,1.0
mu[717],71.54,1.709,68.525,74.92,0.022,0.029,6075.0,2898.0,1.0
mu[718],74.938,1.74,71.81,78.318,0.022,0.03,6073.0,2899.0,1.0
mu[719],70.385,1.626,67.237,73.398,0.021,0.028,6172.0,2820.0,1.0
mu[720],47.267,1.823,43.934,50.69,0.023,0.026,6110.0,3377.0,1.0
mu[721],49.443,1.607,46.49,52.567,0.021,0.026,6157.0,3284.0,1.0
mu[722],45.953,2.385,41.556,50.382,0.03,0.037,6195.0,3263.0,1.0
mu[723],50.19,2.282,45.785,54.254,0.06,0.032,1435.0,2289.0,1.0
mu[724],46.414,1.603,43.417,49.348,0.022,0.024,5315.0,3285.0,1.0
mu[725],43.829,1.797,40.527,47.204,0.034,0.025,2853.0,3095.0,1.0
mu[726],48.801,1.819,45.561,52.444,0.023,0.029,6430.0,3554.0,1.0
mu[727],48.17,2.349,43.624,52.369,0.031,0.036,5815.0,3264.0,1.0
mu[728],51.799,1.612,48.815,54.807,0.019,0.027,7025.0,2964.0,1.0
mu[729],50.636,2.304,46.446,55.11,0.03,0.037,5844.0,3316.0,1.0
mu[730],51.558,1.604,48.66,54.65,0.02,0.026,6754.0,3241.0,1.0
mu[731],47.007,1.803,43.67,50.449,0.023,0.026,6149.0,3160.0,1.0
mu[732],54.263,2.276,50.037,58.604,0.029,0.033,6379.0,3608.0,1.0
mu[733],43.95,1.842,40.565,47.35,0.023,0.026,6366.0,3307.0,1.0
mu[734],50.358,1.624,47.256,53.248,0.02,0.025,6529.0,3174.0,1.0
mu[735],50.013,1.673,46.946,53.189,0.021,0.027,6223.0,3406.0,1.0
mu[736],52.354,1.609,49.364,55.392,0.02,0.026,6496.0,3297.0,1.0
mu[737],51.047,1.709,47.774,54.167,0.021,0.028,6353.0,3058.0,1.0
mu[738],49.495,1.7,46.269,52.606,0.032,0.025,2814.0,2994.0,1.0
mu[739],48.906,1.616,45.816,51.844,0.022,0.025,5606.0,3054.0,1.0
mu[740],47.286,1.664,44.179,50.396,0.029,0.025,3379.0,3176.0,1.0
mu[741],54.156,1.699,50.826,57.199,0.02,0.029,6944.0,2815.0,1.0
mu[742],54.643,1.621,51.626,57.679,0.019,0.028,7470.0,2878.0,1.0
mu[743],52.889,1.668,49.866,56.129,0.02,0.029,6976.0,2840.0,1.0
mu[744],55.777,1.71,52.711,59.129,0.021,0.03,6866.0,2943.0,1.0
mu[745],54.115,1.608,51.121,57.143,0.019,0.026,7214.0,2880.0,1.0
mu[746],53.644,1.671,50.771,57.002,0.02,0.029,6976.0,2613.0,1.0
mu[747],52.49,1.635,49.528,55.58,0.02,0.026,6921.0,3200.0,1.0
mu[748],53.645,1.69,50.437,56.848,0.021,0.029,6174.0,2896.0,1.0
mu[749],57.043,1.713,53.689,60.16,0.022,0.03,6056.0,3113.0,1.0
mu[750],67.214,1.58,64.339,70.197,0.02,0.026,6314.0,3033.0,1.0
mu[751],63.725,2.352,59.525,68.176,0.029,0.037,6688.0,3252.0,1.0
mu[752],65.039,1.788,61.678,68.311,0.022,0.028,6536.0,3180.0,1.0
mu[753],67.961,2.265,63.786,72.181,0.055,0.031,1692.0,2463.0,1.0
mu[754],64.186,1.573,61.347,67.2,0.023,0.028,4812.0,3040.0,1.0
mu[755],61.601,1.777,58.221,64.89,0.034,0.029,2659.0,2739.0,1.0
mu[756],65.941,2.345,61.25,70.059,0.031,0.035,5720.0,3164.0,1.0
mu[757],66.572,1.819,63.081,69.831,0.024,0.03,5929.0,2923.0,1.0
mu[758],69.571,1.589,66.648,72.501,0.02,0.028,6489.0,3063.0,1.0
mu[759],69.33,1.614,66.313,72.382,0.021,0.027,6173.0,2731.0,1.0
mu[760],64.778,1.826,61.179,67.916,0.023,0.028,6099.0,3035.0,1.0
mu[761],68.407,2.295,63.908,72.541,0.031,0.033,5450.0,3289.0,1.0
mu[762],61.722,1.798,58.34,65.056,0.023,0.028,5888.0,3231.0,1.0
mu[763],72.035,2.319,67.473,76.205,0.029,0.034,6387.0,3349.0,1.0
mu[764],68.129,1.584,65.096,70.899,0.02,0.028,6035.0,2766.0,1.0
mu[765],67.785,1.66,64.385,70.67,0.021,0.026,6076.0,3101.0,1.0
mu[766],70.126,1.589,67.22,73.057,0.019,0.025,6675.0,3183.0,1.0
mu[767],68.819,1.696,65.587,71.96,0.022,0.027,6142.0,3063.0,1.0
mu[768],67.266,1.672,64.089,70.297,0.033,0.025,2602.0,2864.0,1.0
mu[769],66.678,1.594,63.743,69.624,0.023,0.027,5017.0,3139.0,1.0
mu[770],65.058,1.638,61.979,68.106,0.029,0.026,3122.0,2869.0,1.0
mu[771],71.927,1.664,68.78,74.886,0.02,0.027,7104.0,3228.0,1.0
mu[772],70.661,1.637,67.676,73.708,0.02,0.026,6853.0,3229.0,1.0
mu[773],72.414,1.607,69.31,75.326,0.02,0.027,6755.0,3046.0,1.0
mu[774],71.416,1.678,68.409,74.593,0.021,0.028,6186.0,2853.0,1.0
mu[775],71.887,1.629,69.045,75.165,0.02,0.027,6605.0,2972.0,1.0
mu[776],73.549,1.706,70.466,76.761,0.022,0.029,5995.0,3014.0,1.0
mu[777],70.261,1.596,67.333,73.217,0.02,0.027,6301.0,2838.0,1.0
mu[778],74.815,1.703,71.525,77.843,0.022,0.029,5828.0,3139.0,1.0
mu[779],71.416,1.665,68.275,74.438,0.022,0.029,5814.0,2980.0,1.0
mu[780],54.472,1.577,51.344,57.194,0.02,0.028,6007.0,3184.0,1.0
mu[781],50.983,2.297,46.782,55.295,0.03,0.033,6003.0,3510.0,1.0
mu[782],52.297,1.781,48.879,55.493,0.023,0.03,5804.0,3132.0,1.0
mu[783],51.444,1.559,48.504,54.257,0.022,0.024,4879.0,2907.0,1.0
mu[784],48.859,1.746,45.714,52.061,0.035,0.024,2551.0,2983.0,1.0
mu[785],55.22,2.218,50.966,59.259,0.057,0.031,1513.0,2542.0,1.0
mu[786],56.829,1.594,53.755,59.664,0.02,0.026,6359.0,3193.0,1.0
mu[787],53.831,1.759,50.752,57.297,0.022,0.027,6594.0,3471.0,1.0
mu[788],53.2,2.272,48.839,57.431,0.028,0.036,6644.0,3346.0,1.0
mu[789],56.588,1.579,53.727,59.544,0.019,0.026,6902.0,3128.0,1.0
mu[790],55.666,2.275,51.297,59.814,0.03,0.032,5738.0,3449.0,1.0
mu[791],52.037,1.781,48.914,55.627,0.022,0.028,6512.0,3504.0,1.0
mu[792],48.98,1.773,45.668,52.235,0.023,0.03,5778.0,3057.0,1.0
mu[793],59.293,2.309,55.02,63.654,0.03,0.036,5846.0,3260.0,1.0
mu[794],55.388,1.572,52.417,58.239,0.02,0.028,6330.0,3011.0,1.0
mu[795],56.077,1.698,52.839,59.174,0.021,0.03,6409.0,3034.0,1.0
mu[796],55.043,1.681,51.966,58.236,0.021,0.03,6277.0,2855.0,1.0
mu[797],57.384,1.592,54.434,60.286,0.02,0.027,6230.0,3370.0,1.0
mu[798],52.316,1.657,49.302,55.51,0.029,0.027,3345.0,3077.0,1.0
mu[799],54.525,1.681,51.294,57.479,0.032,0.027,2819.0,2783.0,1.0
mu[800],53.936,1.583,50.894,56.73,0.022,0.025,5112.0,3119.0,1.0
mu[801],59.672,1.613,56.677,62.684,0.02,0.028,6581.0,3226.0,1.0
mu[802],57.919,1.705,54.739,61.163,0.021,0.029,6323.0,3046.0,1.0
mu[803],59.185,1.728,56.05,62.568,0.022,0.029,6395.0,3331.0,1.0
mu[804],60.807,1.7,57.529,63.958,0.021,0.027,6807.0,3192.0,1.0
mu[805],59.145,1.594,56.341,62.213,0.019,0.026,7038.0,3319.0,1.0
mu[806],58.674,1.674,55.826,62.045,0.02,0.028,6718.0,3419.0,1.0
mu[807],58.675,1.684,55.4,61.748,0.021,0.03,6247.0,3056.0,1.0
mu[808],62.073,1.718,58.991,65.496,0.021,0.029,6391.0,2939.0,1.0
mu[809],57.52,1.586,54.503,60.348,0.02,0.029,6416.0,3161.0,1.0
mu[810],56.644,1.811,53.269,60.132,0.022,0.031,6520.0,3159.0,1.0
mu[811],55.33,2.337,50.92,59.615,0.028,0.033,6871.0,3490.0,1.0
mu[812],58.82,1.608,55.781,61.761,0.019,0.027,7192.0,3373.0,1.0
mu[813],55.791,1.611,52.854,58.869,0.022,0.026,5312.0,3147.0,1.0
mu[814],53.206,1.792,49.898,56.569,0.034,0.027,2858.0,2822.0,1.0
mu[815],59.567,2.257,55.236,63.617,0.055,0.032,1683.0,2342.0,1.0
mu[816],58.178,1.849,54.745,61.669,0.022,0.028,6813.0,3005.0,1.0
mu[817],57.547,2.316,53.006,61.712,0.029,0.035,6566.0,3529.0,1.0
mu[818],61.176,1.627,57.983,64.09,0.019,0.027,7151.0,3045.0,1.0
mu[819],56.384,1.809,52.949,59.762,0.022,0.027,6615.0,3080.0,1.0
mu[820],60.013,2.319,55.658,64.296,0.029,0.034,6414.0,3540.0,1.0
mu[821],60.935,1.616,58.045,64.019,0.019,0.028,7387.0,3069.0,1.0
mu[822],59.735,1.593,56.693,62.539,0.019,0.026,7150.0,3204.0,1.0
mu[823],63.64,2.32,59.37,67.904,0.028,0.033,7031.0,3519.0,1.0
mu[824],53.327,1.795,49.994,56.693,0.023,0.029,6331.0,3383.0,1.0
mu[825],60.424,1.723,57.263,63.778,0.02,0.029,7644.0,2900.0,1.0
mu[826],59.39,1.7,56.148,62.585,0.02,0.029,7455.0,2786.0,1.0
mu[827],61.731,1.622,58.74,64.807,0.019,0.026,7661.0,3576.0,1.0
mu[828],58.872,1.725,55.504,61.95,0.033,0.027,2729.0,2528.0,1.0
mu[829],56.663,1.698,53.676,60.045,0.03,0.026,3251.0,2954.0,1.0
