artist,song,mix_i_original_name,mix_j_original_name,condition_i,condition_j,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag,notes
The DoneFors,Pouring Room,McG-R,McG-V,Similar Ratings,Wide Ratings,2.17432776084,1.62323811333,1.44665104258,2.67931931588,4.80230044533,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-T,McG-X,Similar Ratings,Similar Ratings,1.88514897969,1.02477453683,1.58228436897,1.84879610066,4.73572369992,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-T,McG-pro1,Similar Ratings,Wide Ratings,2.77757175573,2.37228123021,1.44470987503,2.58634196256,6.53346591939,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-T,McG-U,Similar Ratings,Wide Ratings,2.76009294331,1.72805083743,2.15219733271,3.22056976428,6.0896699163,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-T,McG-V,Similar Ratings,Wide Ratings,2.05828285308,1.27173137378,1.61840279789,2.32965498712,4.6050855416,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-X,McG-pro1,Similar Ratings,Wide Ratings,2.28153468183,1.35739107835,1.83381841108,2.19649003994,5.20869896886,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-X,McG-U,Similar Ratings,Wide Ratings,2.62219634966,1.30449868489,2.27468610522,2.76830353684,5.98187317942,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-X,McG-V,Similar Ratings,Wide Ratings,1.9297504407,0.758062523724,1.77462051535,2.00375781462,4.3243965281,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-pro1,McG-U,Wide Ratings,Wide Ratings,2.24349284301,1.75266595953,1.40050782608,1.55409363191,4.75689490472,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-pro1,McG-V,Wide Ratings,Wide Ratings,1.69525800496,1.66357031242,0.326241504158,1.29617575092,2.93970330732,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-U,McG-V,Wide Ratings,Wide Ratings,1.94282540096,1.38751162521,1.35991986106,2.32552969847,4.29207026387,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
