episode,song_id,mix_id,stimulus_id,posterior_mean,hdi_3%,hdi_97%
Focus,Song_1,Mix_1,Song_1_Mix_1,65.16200897254274,60.10255117650921,69.95498891928455
Focus,Song_1,Mix_2,Song_1_Mix_2,65.44122061669248,60.249440560041215,70.47476793070523
Focus,Song_1,Mix_3,Song_1_Mix_3,54.831063349027836,49.88707911906728,59.87375736397252
Focus,Song_2,Mix_1,Song_2_Mix_1,65.95382320844848,60.64615486860747,70.83085565571008
Focus,Song_2,Mix_2,Song_2_Mix_2,70.07534840614447,64.62456697611489,74.87658549729409
Focus,Song_2,Mix_3,Song_2_Mix_3,60.840709712603775,56.09524931726085,66.03590901396316
Focus,Song_3,Mix_1,Song_3_Mix_1,79.45856029189501,74.56129586531796,84.7040384980706
Focus,Song_3,Mix_2,Song_3_Mix_2,77.77700579248622,72.5214716582983,82.46443206040203
Focus,Song_3,Mix_3,Song_3_Mix_3,75.17722268785033,70.08187630049588,80.13979701887656
Focus,Song_4,Mix_1,Song_4_Mix_1,69.12514845025427,64.19136631881258,74.0341158366057
Focus,Song_4,Mix_2,Song_4_Mix_2,69.78884588669236,64.64068095038886,74.74295673456712
Focus,Song_4,Mix_3,Song_4_Mix_3,62.2077446768332,57.19082597416181,67.54137669130719
Motivation,Song_1,Mix_1,Song_1_Mix_1,62.329499310792144,56.82426897702603,67.38132890828525
Motivation,Song_1,Mix_2,Song_1_Mix_2,66.14767544097566,61.08711510841701,71.21537963695783
Motivation,Song_1,Mix_3,Song_1_Mix_3,70.2770028959155,65.36784573784774,75.37420612927109
Motivation,Song_2,Mix_1,Song_2_Mix_1,61.518770499431454,56.55044669054447,66.4012034077274
Motivation,Song_2,Mix_2,Song_2_Mix_2,65.35539368016848,60.46674780846452,70.30770375388336
Motivation,Song_2,Mix_3,Song_2_Mix_3,69.69701637952603,64.20142045662575,74.43668530095404
Motivation,Song_3,Mix_1,Song_3_Mix_1,66.46232198476926,61.49900157807667,71.5707665052711
Motivation,Song_3,Mix_2,Song_3_Mix_2,72.81740129569626,67.71244992967794,77.71774574769225
Motivation,Song_3,Mix_3,Song_3_Mix_3,81.36061729798706,76.34501992719439,86.44786893799704
Motivation,Song_4,Mix_1,Song_4_Mix_1,61.989688443929424,57.041037030990644,67.11621019005094
Motivation,Song_4,Mix_2,Song_4_Mix_2,65.14932827345976,60.28018480751413,70.45284692586205
Motivation,Song_4,Mix_3,Song_4_Mix_3,69.76617124767562,64.71659698040624,74.83141108652389
