artist,song,mix_i_original_name,mix_j_original_name,mix_i_id,mix_j_id,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag
Filthybird,I'd Like To Know,PXL-S5,PXL-S4,mix_82d60d7c7fc5,mix_b05651ab273c,2.66355026226,2.35614197938,1.24221373869,2.71758604345,5.47020318342,0
Filthybird,I'd Like To Know,PXL-S5,PXL-S7,mix_82d60d7c7fc5,mix_b393d3919c78,1.97772901106,1.68079102881,1.04228285922,2.04652821104,4.25916947432,0
Filthybird,I'd Like To Know,PXL-S1,PXL-S6,mix_9ffcd672af17,mix_ab8babdfa183,2.05440680055,0.496713518012,1.99345503666,2.05359254389,4.34541245071,0
Filthybird,I'd Like To Know,PXL-S1,PXL-S4,mix_9ffcd672af17,mix_b05651ab273c,1.80185766445,0.847705209459,1.58999588704,1.67856217016,4.43596463636,0
Filthybird,I'd Like To Know,PXL-S1,PXL-S7,mix_9ffcd672af17,mix_b393d3919c78,1.59744017638,0.274412347985,1.57369405552,1.59328998981,3.39261491916,0
Filthybird,I'd Like To Know,PXL-S6,PXL-S4,mix_ab8babdfa183,mix_b05651ab273c,1.70400976128,1.05922689226,1.33479873287,1.49291728625,4.06174299628,0
Filthybird,I'd Like To Know,PXL-S6,PXL-S7,mix_ab8babdfa183,mix_b393d3919c78,1.35373057047,0.61865500723,1.20409818514,1.37028042386,3.42395901059,0
Filthybird,I'd Like To Know,PXL-S4,PXL-S7,mix_b05651ab273c,mix_b393d3919c78,1.70071404604,1.09972293179,1.29731944397,1.51181033387,4.31490389369,0
The Districts,Vermont,PXL-L1,DU-P2,mix_0ae655011992,mix_394fbfb78a5d,2.95940847812,2.39793204847,1.73436456125,2.90975838834,7.20747188743,0
The Districts,Vermont,PXL-L1,PXL-L2,mix_0ae655011992,mix_66c12fb63344,0.896004763486,0.675372128144,0.588809837483,0.842072939244,2.29754556763,1
The Districts,Vermont,PXL-L1,DU-O2,mix_0ae655011992,mix_94dea4d9516e,1.15665740409,0.115757910849,1.1508503189,1.15618965736,2.50758864938,0
The Districts,Vermont,PXL-L1,PXL-L4,mix_0ae655011992,mix_9b6f253d1335,1.11121902383,0.456004354797,1.0133448314,1.11926130932,2.07724175364,0
The Districts,Vermont,PXL-L1,PXL-L5,mix_0ae655011992,mix_bd4d7c6e0ea0,1.31654334555,0.448344228003,1.23785048932,1.2782440271,3.11304003555,0
The Districts,Vermont,PXL-L1,PXL-L3,mix_0ae655011992,mix_de21d14989c8,1.43406533194,0.530547942181,1.332314624,1.39797332926,3.37174143915,0
The Districts,Vermont,DU-P2,PXL-L2,mix_394fbfb78a5d,mix_66c12fb63344,2.66502376747,2.21885166075,1.47616021785,2.69382595232,6.2474234334,0
The Districts,Vermont,DU-P2,DU-O2,mix_394fbfb78a5d,mix_94dea4d9516e,3.44842795802,2.48243999167,2.39356367566,3.42326337983,7.40976533982,0
The Districts,Vermont,DU-P2,PXL-L4,mix_394fbfb78a5d,mix_9b6f253d1335,3.22281168888,2.74203350162,1.69344839247,3.20596797533,7.64707101161,0
The Districts,Vermont,DU-P2,PXL-L5,mix_394fbfb78a5d,mix_bd4d7c6e0ea0,3.35316464397,2.59103011205,2.12844452314,3.395490439,7.42312926335,0
The Districts,Vermont,DU-P2,PXL-L3,mix_394fbfb78a5d,mix_de21d14989c8,3.30780796324,2.60497952989,2.03854731868,3.35394125042,7.16312179034,0
The Districts,Vermont,PXL-L2,DU-O2,mix_66c12fb63344,mix_94dea4d9516e,1.51985612085,0.686401272143,1.35602946933,1.50000026394,3.2964971681,0
The Districts,Vermont,PXL-L2,PXL-L4,mix_66c12fb63344,mix_9b6f253d1335,0.939083650409,0.664829091579,0.663234786072,0.893521461549,2.23167611862,0
The Districts,Vermont,PXL-L2,PXL-L5,mix_66c12fb63344,mix_bd4d7c6e0ea0,1.61354792799,0.655026715458,1.4746107683,1.62496947303,3.29330324401,0
The Districts,Vermont,PXL-L2,PXL-L3,mix_66c12fb63344,mix_de21d14989c8,1.41680402686,0.532000512943,1.31312950799,1.42548612351,2.95257982903,0
The Districts,Vermont,DU-O2,PXL-L4,mix_94dea4d9516e,mix_9b6f253d1335,1.19093495482,0.380923197688,1.12837209469,1.19584081576,2.41423473127,0
The Districts,Vermont,DU-O2,PXL-L5,mix_94dea4d9516e,mix_bd4d7c6e0ea0,1.28913839192,0.349078526978,1.24097621876,1.25928366436,2.66538103827,0
The Districts,Vermont,DU-O2,PXL-L3,mix_94dea4d9516e,mix_de21d14989c8,1.99900673721,0.448043708048,1.94814906285,1.97947345451,4.20185892334,0
The Districts,Vermont,PXL-L4,PXL-L5,mix_9b6f253d1335,mix_bd4d7c6e0ea0,1.38224656035,0.379810172755,1.32904092723,1.34795413501,2.74309470378,0
The Districts,Vermont,PXL-L4,PXL-L3,mix_9b6f253d1335,mix_de21d14989c8,1.63354531699,0.331037374484,1.59965138682,1.60074627889,3.31805793587,0
The Districts,Vermont,PXL-L5,PXL-L3,mix_bd4d7c6e0ea0,mix_de21d14989c8,1.85795508441,0.196307472282,1.847555269,1.85880851545,3.60356219335,0
Torres,New Skin,DU-Q,DU-R,mix_221967d4097c,mix_42350ee2e7ab,3.19525777565,2.10383934088,2.40489756136,3.34707055432,6.69494757762,0
Torres,New Skin,DU-Q,DU-O,mix_221967d4097c,mix_48521615c4db,2.38104672679,2.24146346744,0.803259011321,1.76564432218,4.6465546458,0
Torres,New Skin,DU-Q,DU-P,mix_221967d4097c,mix_59ac406eef54,2.21366611875,1.98992414194,0.96980389494,1.60112604028,4.50590178868,0
Torres,New Skin,DU-Q,DU-U,mix_221967d4097c,mix_768a004d1c8d,2.34064704292,2.23759111787,0.686887595452,1.25199936294,4.43177751909,0
Torres,New Skin,DU-Q,DU-T,mix_221967d4097c,mix_c09620e345d0,2.3650747116,1.96058244669,1.32276031886,2.01769743543,4.93139734919,0
Torres,New Skin,DU-Q,DU-S,mix_221967d4097c,mix_c512d63997c6,1.7031166118,1.40628745212,0.960709006615,1.23978922031,3.78178357488,0
Torres,New Skin,DU-R,DU-O,mix_42350ee2e7ab,mix_48521615c4db,3.38852224907,2.33904210114,2.45172695901,3.89797291926,6.74140734886,0
Torres,New Skin,DU-R,DU-P,mix_42350ee2e7ab,mix_59ac406eef54,2.63135465027,1.38949919306,2.23457362555,2.83264409896,5.24273198109,0
Torres,New Skin,DU-R,DU-U,mix_42350ee2e7ab,mix_768a004d1c8d,3.10616216654,1.67044149649,2.6187532552,3.25115987497,6.06894248658,0
Torres,New Skin,DU-R,DU-T,mix_42350ee2e7ab,mix_c09620e345d0,2.39054832947,0.805529515607,2.2507428807,2.44619962781,4.52078967802,0
Torres,New Skin,DU-R,DU-S,mix_42350ee2e7ab,mix_c512d63997c6,3.00719097572,1.13928620897,2.78302434386,3.18288631475,5.0320275777,0
Torres,New Skin,DU-O,DU-P,mix_48521615c4db,mix_59ac406eef54,1.07133083286,0.965493757774,0.46429684162,1.372704403,2.3963384901,0
Torres,New Skin,DU-O,DU-U,mix_48521615c4db,mix_768a004d1c8d,0.898920022875,0.843618080877,0.31042831885,1.16091357222,1.76757405943,0
Torres,New Skin,DU-O,DU-T,mix_48521615c4db,mix_c09620e345d0,1.80081476423,1.56134256554,0.897297725439,2.26285960151,4.01955212773,0
Torres,New Skin,DU-O,DU-S,mix_48521615c4db,mix_c512d63997c6,1.70092473276,1.53006416505,0.742999729025,2.02990672697,3.57389724151,0
Torres,New Skin,DU-P,DU-U,mix_59ac406eef54,mix_768a004d1c8d,0.836949409196,0.399736029317,0.735319944255,0.784132488055,1.881341841,1
Torres,New Skin,DU-P,DU-T,mix_59ac406eef54,mix_c09620e345d0,1.31599260455,0.605562245088,1.16838816434,1.41466295316,2.90628988603,0
Torres,New Skin,DU-P,DU-S,mix_59ac406eef54,mix_c512d63997c6,1.25106601805,0.848451838895,0.919399618549,1.32701269685,2.95966709784,0
Torres,New Skin,DU-U,DU-T,mix_768a004d1c8d,mix_c09620e345d0,1.28592591205,0.867118035734,0.949585048,1.35646230389,3.10228391512,0
Torres,New Skin,DU-U,DU-S,mix_768a004d1c8d,mix_c512d63997c6,1.32024314514,1.0485296789,0.802263968258,1.19845604263,3.06909440602,0
Torres,New Skin,DU-T,DU-S,mix_c09620e345d0,mix_c512d63997c6,1.5188586309,0.677857653632,1.35920584978,1.58096517352,3.40191188044,0
