artist,song,original_dataset_filename,original_mix_name,mix_id,bark_pc_01,bark_pc_02,bark_pc_03,bark_pc_04,bark_pc_05,bark_pc_06,bark_pc_07,bark_pc_08,bark_pc_09,bark_pc_10,bark_pc_11,bark_pc_12,bark_pc_13,bark_pc_14,bark_pc_15,bark_pc_16,bark_pc_17,bark_pc_18,bark_pc_19,bark_pc_20,bark_pc_21,bark_pc_22,bark_pc_23,bark_pc_24,bark_pc_25,bark_pc_26,bark_pc_27,bark_pc_28,bark_pc_29,bark_pc_30,bark_pc_31,bark_pc_32,bark_pc_33,bark_pc_34,bark_pc_35,bark_pc_36,bark_pc_37
Fredy V,In The Meantime,DU-L.mp3,DU-L,mix_561c0e17caee,0.59374258999,4.96253429159,-2.09022716383,-2.84667435833,-2.94821221413,0.136122386694,0.683297185404,-1.0196387286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-K.mp3,DU-K,mix_56e65a3ce054,-4.9118610431,-4.77479706371,-2.01962048164,5.72140107296,-1.7633255248,-0.105395677101,-0.837082903395,-1.37291217534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S4.mp3,PXL-S4,mix_67624d91340a,-1.7945464929,3.37661040254,1.08091058971,-0.297628457567,0.851661853994,-1.56134517853,1.19483955928,0.177523555717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-pro2.mp3,McG-pro2,mix_690c5c454a9f,1.74281947922,3.77317241261,-2.52821892629,0.669878608544,1.38319208868,-0.196005680159,-1.0772933289,-0.247676613868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-M.mp3,DU-M,mix_6cfa655049d5,-4.23203941612,1.15518625337,1.10051043686,-0.123082484995,0.657110005019,-0.170554601239,-0.327508275013,-1.49147027382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-E.mp3,McG-E,mix_7a5719f17171,-1.96967147711,2.1269199639,0.892992901152,0.090587475096,0.61837639248,0.748483627212,0.0651013681121,1.3439188553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S3.mp3,PXL-S3,mix_8137541fd01f,-0.543409276911,-1.6779009621,0.668530485599,0.0246419258097,-0.631558622807,0.905450900563,0.986955165904,0.545952391958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-J.mp3,QUT-J,mix_8187ac605f62,3.08482706676,1.55445017945,-1.04232705706,0.761653948406,0.900936607439,-0.673114433762,0.321347644605,0.260640346283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-C.mp3,QUT-C,mix_82d5489162f9,-4.34842048971,-3.56219303775,2.4669030799,-0.190044867357,1.85741557479,1.12339682416,1.61359585352,0.885061116687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-A.mp3,McG-A,mix_8ffed8205048,-0.600422471712,-0.180126800877,2.81806993049,-1.74290285468,-0.326923547558,-0.20594821258,-0.544115072159,0.0673014926347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-H.mp3,McG-H,mix_96c30e75e4a7,-0.240701126655,2.75955320614,-2.81865715253,-0.933092126111,0.555993212885,-0.257614366298,-0.97496237103,0.851782765562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-I.mp3,DU-I,mix_9baa86357fd4,5.0796860891,0.910299415062,-4.0664815063,1.15190495575,0.104866609017,0.139153302755,1.63233355285,0.304300512688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-G.mp3,QUT-G,mix_a31f439e1e87,2.52572475023,-0.0915723181359,3.9004291333,0.776109686082,0.297084820914,-1.00489089439,0.505855964126,-0.00180104710016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-G.mp3,McG-G,mix_c45aea9558f2,0.875876494119,0.935869145722,3.21590693547,0.0423945966082,0.0528274995064,0.214745894167,-0.272901940433,0.718511795051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-B.mp3,QUT-B,mix_c7bdcba64775,-25.548095234,2.17356776476,0.375795284722,0.0828003468432,-0.998730301907,0.0250993746367,-0.485867988686,0.699477398392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-pro.mp3,QUT-pro,mix_cdaef40f2b94,7.46134431373,-0.958857658817,1.13184053296,0.859593245704,-1.50910822555,0.39966049251,0.148745600638,0.0417733843802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-F.mp3,McG-F,mix_ce153583405d,5.45844384222,-0.1709474706,-1.01465632768,-0.985718494859,-1.75733924066,0.385365390187,-1.14012616522,0.312380940149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,UCP-A3.mp3,UCP-A3,mix_d58db5dccea3,0.524250268539,0.367161357195,3.5589232184,0.986165284876,-0.852142126296,-0.370651909113,0.33101552696,-0.150393474544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-D.mp3,McG-D,mix_da9f94cae537,4.46272528016,2.07165570595,1.55892016451,0.101791246852,0.687445068003,0.389330911374,-0.34583455126,-0.47456033488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
