artist,song,triplet_id,mix_1,mix_1_original_name,mix_2,mix_2_original_name,mix_3,mix_3_original_name,institution_1,institution_2,institution_3,unique_institution_count,contains_medoid,pairwise_distance_1,pairwise_distance_2,pairwise_distance_3,minimum_pairwise_distance,mean_pairwise_distance,maximum_pairwise_distance,scalar_only_minimum_distance,bark_only_minimum_distance,rms_excluded_minimum_distance,manhattan_minimum_distance,average_distance_to_song_centre,maximum_distance_to_song_centre,average_robust_outlier_score,maximum_robust_outlier_score,QC_warning_count,near_duplicate_flag,algorithm_eligibility,technical_rejection_reason
Broken Crank,Red To Blue,RedToBlue_00025,mix_5143d2ee3859,McG-C,mix_8978729ff911,McG-D,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,1.39849329802,1.00898468726,1.40760770597,1.00898468726,1.27169523042,1.40760770597,0.310916264483,0.857282349283,1.019310206,2.3418843711,0.932469730848,1.30642444117,2.12091091783,2.77027062848,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00026,mix_5143d2ee3859,McG-C,mix_8978729ff911,McG-D,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,1.39849329802,1.25996809174,1.6431346488,1.25996809174,1.43386534619,1.6431346488,0.310916264483,1.0133930756,1.24884822148,2.74179541803,1.01231261512,1.30642444117,2.63074762385,2.77027062848,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00027,mix_5143d2ee3859,McG-C,mix_906e7f7daf44,McG-pro,mix_b4b312ffa4d6,McG-G,McG,McG,McG,1,false,1.87732310177,2.13841161776,2.10439877562,1.87732310177,2.04004449838,2.13841161776,0.594739306367,1.62381021644,1.73544877502,4.1951575468,1.29528272597,1.6303140859,3.38534434086,3.94569263256,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00028,mix_5143d2ee3859,McG-C,mix_906e7f7daf44,McG-pro,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,1.87732310177,2.29145238994,3.00983848936,1.87732310177,2.39287132702,3.00983848936,0.942115921431,1.2550664744,1.73544877502,4.1951575468,1.44716159188,2.08595068362,3.85334189781,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00029,mix_5143d2ee3859,McG-C,mix_906e7f7daf44,McG-pro,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,1.87732310177,1.00898468726,1.50858652104,1.00898468726,1.46496477002,1.87732310177,0.532087467187,0.857282349283,1.019310206,2.3418843711,0.939654553835,1.32797891013,2.47190019368,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00030,mix_5143d2ee3859,McG-C,mix_906e7f7daf44,McG-pro,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,1.87732310177,1.25996809174,1.67457596096,1.25996809174,1.60395571816,1.87732310177,0.748701587112,1.0133930756,1.24884822148,2.74179541803,1.0194974381,1.32797891013,2.9817368997,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00031,mix_5143d2ee3859,McG-C,mix_b4b312ffa4d6,McG-G,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,2.13841161776,2.29145238994,2.62709013065,2.13841161776,2.35231804612,2.62709013065,0.665651389891,1.2550664744,2.11823218891,4.92663546066,1.5479399838,2.08595068362,3.89415995666,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00032,mix_5143d2ee3859,McG-C,mix_b4b312ffa4d6,McG-G,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,2.13841161776,1.00898468726,1.68906711541,1.00898468726,1.61215447348,2.13841161776,0.472346910964,0.857282349283,1.019310206,2.3418843711,1.04043294576,1.6303140859,2.51271825252,3.94569263256,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00033,mix_5143d2ee3859,McG-C,mix_b4b312ffa4d6,McG-G,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,2.13841161776,1.25996809174,2.05051930401,1.25996809174,1.81629967117,2.13841161776,0.665651389891,1.0133930756,1.24884822148,2.74179541803,1.12027583002,1.6303140859,3.02255495854,3.94569263256,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00034,mix_5143d2ee3859,McG-C,mix_dcc6aef84d67,McG-F,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,2.29145238994,1.00898468726,1.97257889429,1.00898468726,1.7576719905,2.29145238994,0.532087467187,0.837324711915,1.019310206,2.3418843711,1.19231181166,2.08595068362,2.98071580947,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00035,mix_5143d2ee3859,McG-C,mix_dcc6aef84d67,McG-F,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,2.29145238994,1.25996809174,2.50260678251,1.25996809174,2.01800908806,2.50260678251,0.748701587112,0.765982998989,1.24884822148,2.74179541803,1.27215469593,2.08595068362,3.49055251549,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00036,mix_5143d2ee3859,McG-C,mix_e2654ec905ad,McG-A,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,true,1.00898468726,1.25996809174,1.16350401842,1.00898468726,1.14415226581,1.25996809174,0.532087467187,0.529574622454,1.019310206,2.3418843711,0.764647657889,0.927555181884,2.10911081136,2.73487030907,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00037,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_808780e357c9,McG-pro1,McG,McG,McG,1,false,3.00216957475,2.23894494772,2.56736881591,2.23894494772,2.60282777946,3.00216957475,1.2552343628,1.23600580772,2.17604655298,5.38454630686,1.57331517381,1.99749017687,4.69013267024,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00038,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_8978729ff911,McG-D,McG,McG,McG,1,false,3.00216957475,2.24923461006,2.298571138,2.24923461006,2.51665844094,3.00216957475,1.01947824171,1.22207326404,2.26591107076,4.55500590267,1.56613035082,1.99749017687,4.33914339439,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00039,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_906e7f7daf44,McG-pro,McG,McG,McG,1,false,3.00216957475,2.23894494772,2.56736881591,2.23894494772,2.60282777946,3.00216957475,1.2552343628,1.23600580772,2.17604655298,5.38454630686,1.57331517381,1.99749017687,4.69013267024,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00040,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_b4b312ffa4d6,McG-G,McG,McG,McG,1,false,3.00216957475,2.13713915477,2.71564877284,2.13713915477,2.61831916745,3.00216957475,0.816926322929,1.23600580772,2.13818508507,5.10796882642,1.67409356573,1.99749017687,4.73095072908,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00041,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,3.00216957475,2.09028469258,2.19763346655,2.09028469258,2.43002924463,3.00216957475,1.91520742891,0.837419011174,2.14036141673,4.28489595324,1.82597243164,2.08595068362,5.19894828603,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00042,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,3.00216957475,1.49724817604,1.90107445204,1.49724817604,2.13349740094,3.00216957475,1.11545905147,0.516083401683,1.52291493637,3.88034115468,1.31846539359,1.99749017687,3.8175065819,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00043,mix_5b76bf1a027d,McG-H,mix_7ac13e0b6376,McG-B,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,3.00216957475,1.26629521273,2.45529832948,1.26629521273,2.24125437232,3.00216957475,1.04433796162,0.598052092962,1.29123260327,3.07696444204,1.39830827786,1.99749017687,4.32734328792,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00044,mix_5b76bf1a027d,McG-H,mix_808780e357c9,McG-pro1,mix_8978729ff911,McG-D,McG,McG,McG,1,false,2.23894494772,2.24923461006,2.04203337214,2.04203337214,2.17673764331,2.24923461006,0.851467747079,1.85398521391,1.97041719542,4.53296610638,1.34295992858,1.39447643443,3.61132393758,4.24046272824,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00045,mix_5b76bf1a027d,McG-H,mix_808780e357c9,McG-pro1,mix_906e7f7daf44,McG-pro,McG,McG,McG,1,false,2.23894494772,2.23894494772,1.68830575362e-16,1.68830575362e-16,1.49262996515,2.23894494772,0,1.68830575362e-16,1.68830575362e-16,1.94289029309e-16,1.35014475157,1.39447643443,3.96231321343,4.24046272824,1,true,false,near_duplicate_pair
Broken Crank,Red To Blue,RedToBlue_00046,mix_5b76bf1a027d,McG-H,mix_808780e357c9,McG-pro1,mix_b4b312ffa4d6,McG-G,McG,McG,McG,1,false,2.23894494772,2.13713915477,2.10439877562,2.10439877562,2.16016095937,2.23894494772,0.594739306367,1.85398521391,2.06925482438,4.5576131484,1.45092314349,1.6303140859,4.00313127227,4.24046272824,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00047,mix_5b76bf1a027d,McG-H,mix_808780e357c9,McG-pro1,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,2.23894494772,2.09028469258,3.00983848936,2.09028469258,2.44635604322,3.00983848936,1.2552343628,0.837419011174,2.14036141673,4.28489595324,1.60280200939,2.08595068362,4.47112882922,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00048,mix_5b76bf1a027d,McG-H,mix_808780e357c9,McG-pro1,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,2.23894494772,1.49724817604,1.50858652104,1.49724817604,1.7482598816,2.23894494772,0.893118368891,0.998750822347,1.33103371866,3.26639988439,1.09529497135,1.39447643443,3.08968712509,4.24046272824,1,false,true,
