mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
PXL-S6,26.0,32.0,0.17833108815607293,1.185860791639179,0.1354287610460112,-0.0059041501890392915,0.8165825336643453
QUT-C,46.0,52.0,-0.010257091237057873,-0.30278418848073585,0.5791573397595009,-0.023614899187977975,0.8187798776784089
PXL-S4,46.0,52.0,0.011443988718276494,0.29476563420454305,1.0326963052534701,-0.026011551169296716,0.8393992854537391
UCP-A5,50.0,56.0,0.010881570132455052,0.5270239986914156,-0.2653465623963882,-0.0011574221053108902,0.841550843440256
UCP-A2,10.0,16.0,0.19859545160517203,0.8744550990021356,1.7069162343462914,0.002095839805213866,0.8560740814426675
UCP-A5,46.0,52.0,0.05366220325785659,0.1717353852414103,-2.247303808835955,0.011293226279957987,0.8756388574303853
QUT-C,54.0,60.0,0.017059498339880907,0.2160316293722797,1.6357190577761678,-0.014239011534042174,0.8792546766728032
UCP-A2,62.0,68.0,0.20181339214190366,-0.4802879719643425,3.232772220839138,-0.010860726276771331,0.8814330348242347
UCP-A1,38.0,44.0,0.22325539078475232,-1.4860735954241786,-0.24657283569855792,-0.00448312636464249,0.8935119414973685
McG-E,58.0,64.0,-0.03845914109754638,0.35703616749402833,0.5603575483315453,0.005828436842927063,0.8994899981918387
McG-E,34.0,40.0,0.025574574911563612,0.22780004398851617,-1.8594054479600253,0.002138150251424913,0.9016616893651347
DU-L,50.0,56.0,0.6343181505851696,1.4493598069801639,1.1907684683502886,-0.015857252390055615,0.9032951737426252
McG-H,34.0,40.0,-0.1050435085267082,0.2909699538050283,-0.003362632387705844,-0.00954344301146249,0.9160763888140865
DU-N,42.0,48.0,0.6676107506795758,1.192479262361351,-2.1456068449455863,-0.003183192777182268,0.9180806579225134
UCP-A2,14.0,20.0,0.22473504332336913,1.061695761938262,1.8601222690791452,0.00441231637080705,0.9203961346842646
UCP-A1,58.0,64.0,0.24499958356037757,-1.2957518056382185,1.3889439664551873,-0.004614939140032373,0.9262183306666323
UCP-A2,18.0,24.0,0.17137012507487917,1.1101213011638915,1.0545712624769514,-0.006617192816913644,0.9305060898037303
McG-E,46.0,52.0,-0.011682625785409616,-0.519551229889851,-0.5966648142262336,0.006394742070102167,0.9326405886496798
DU-M,34.0,40.0,0.43495725918444983,-1.2421614458184447,-2.318018907388524,-0.006065277985995759,0.9687835590175009
McG-H,46.0,52.0,-0.10486621971207034,-0.05477965078973135,1.1697622230630529,-0.01394368050127973,0.9725865982784643
DU-L,46.0,52.0,0.6206119593362269,1.6939030943054458,0.9077601815180358,-0.02864659548857599,0.9831155743804283
QUT-C,34.0,40.0,0.014690662270569215,-0.7060125152209267,0.670323674424484,-0.02621086545359986,0.9841734842329977
DU-N,46.0,52.0,0.6507821215376939,-1.2901953446412708,-2.43424114664921,-0.004886230298904005,1.010233844318017
McG-E,42.0,48.0,-0.005140068411010091,-0.8298163991933372,0.20341097152901355,0.007308525987820626,1.0156999821480408
PXL-S6,34.0,40.0,0.2021075821749455,1.0532604295906935,2.2865883066589134,0.005967924095605994,1.0254032964442927
UCP-A4,46.0,52.0,0.2816862630636087,1.0497079939084397,-3.3395177543488437,-0.0067451240599173115,1.0257816601065464
McG-H,50.0,56.0,-0.13128336374004687,0.2758946167959273,0.5785876228206845,-0.011263371521787434,1.04730217930116
QUT-C,62.0,68.0,0.0035751598607289678,0.1581998651158827,2.809048989474995,-0.015075910954367451,1.0533069612577326
QUT-C,38.0,44.0,-0.003819033590556035,-0.7417426664291593,0.880552954188115,-0.008696813884524125,1.0705923435239089
UCP-A1,30.0,36.0,0.20551946873095456,1.5105908729099458,1.1501435926399317,-0.0070236054632179705,1.0767780378890537
QUT-C,22.0,28.0,0.00304124330739559,-0.868143649063164,-0.6045867566206624,-0.029873356563153708,1.0786773514098904
McG-E,30.0,36.0,-0.002632044418415554,0.9813169361037364,0.23578937440980852,0.006673043094819963,1.0912909630501706
McG-H,54.0,60.0,-0.10954948816697611,0.3826279387357179,0.8419945580097767,-0.015309134268744083,1.0967121294032778
PXL-S4,50.0,56.0,-0.0012581474860449615,0.8608322895861455,0.711610812680469,-0.024202106523427042,1.0996740616672331
McG-H,42.0,48.0,-0.09633037115438028,-0.3135695076935505,1.2999138700830848,-0.008932458621724267,1.1044325766679985
PXL-S6,18.0,24.0,0.1888787315305465,1.1186781110665631,2.438240939591193,0.0015892829367734186,1.1073177334108675
McG-pro,46.0,52.0,-0.03874868019846312,0.7355516770735591,-0.7901722315153918,-0.03280552066663045,1.1237990336610146
McG-pro2,46.0,52.0,-0.03874868019846312,0.7355516770735591,-0.7901722315153918,-0.03280552066663045,1.1237990336610146
McG-C,46.0,52.0,-0.0810737746763827,0.6738650837408109,-0.6332614639295535,-0.002734093206307711,1.1540693108126039
McG-E,18.0,24.0,0.05446725889537583,-0.7557834778960295,2.3092681387792418,0.0022390591365958066,1.1753474419741494
UCP-A4,50.0,56.0,0.23444611509786611,1.60159039840525,-2.0196429460280605,-0.006304688065262478,1.194849410911102
UCP-A1,62.0,68.0,0.2545335464194035,-1.5508687311259486,2.546756144707132,-0.0017705338684862642,1.208380694430237
McG-G,22.0,28.0,-0.0255734416469172,1.2190676598733567,-0.058921288359805146,-0.0015073000137339695,1.2295189064844836
QUT-C,58.0,64.0,-0.006183447991435006,0.7599873850664434,1.8764750019228487,-0.020275778430264405,1.233831838804519
McG-H,22.0,28.0,-0.14008839562324465,0.5966456875801462,-0.6672888443754807,-0.018260864298050492,1.2385929616928846
PXL-S3,34.0,40.0,0.02258148095849392,1.3487980386936833,0.35013200288917545,0.007835814703304222,1.2417558578632302
McG-A,14.0,20.0,0.04185352286027354,-0.6895295052746615,-2.9143490621221524,0.0013306578467939835,1.2582100662351066
UCP-A2,26.0,32.0,0.16032512793336864,1.3473910399720843,2.3308305191751266,0.0012767243785438008,1.262669841995574
