run_tag,config_hash,scenario,participant_count,replication,seed,divergences,max_rhat,min_ess,operational_success,strict_convergence,episode_specific_interaction_slope_bias_mean,episode_specific_interaction_slope_mae,episode_specific_interaction_slope_rmse,episode_specific_interaction_slope_coverage,episode_specific_interaction_slope_sign_recovery,episode_specific_interaction_slope_hdi_width_mean,main_effect_bias_mean,main_effect_mae,main_effect_rmse,main_effect_coverage,main_effect_sign_recovery,main_effect_hdi_width_mean,coefficient_rmse,coefficient_coverage,coefficient_sign_recovery,coefficient_hdi_width_mean,cell_mean_rmse,cell_mean_mae,cell_mean_coverage,average_cell_hdi_width,winner_accuracy,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,true_winner_tie_count,rows,clipped_ratings,failed,error_type,error_summary,warning_count,warning_summary,elapsed_seconds
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,1,335501,0,1.03,95.0,True,False,0.2411796628782439,0.7129740836467242,0.8570175581597594,1.0,0.9,3.879918784075061,0.6383804384590697,0.9978466036499816,1.216229816830792,0.75,0.75,2.7418672191146234,0.9732732261855284,0.9285714285714286,0.8571428571428571,3.5547611940863644,2.0291928772330534,1.6144887723012915,0.9333333333333332,7.799656459202503,1.0,0.9129375000000002,1.0,0,900,10,False,,,0,,7.311370611190796
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,2,335502,0,1.02,75.0,True,False,-0.0423907954812522,0.7102866670704197,0.8296067486563374,1.0,0.9,4.081458340588631,0.5413446427547066,0.5413446427547066,0.5937947776607079,1.0,1.0,2.80872802165018,0.7696401072704564,1.0,0.9285714285714286,3.717821106606217,1.543610946130119,1.2788229322299844,0.9666666666666668,8.345782871180452,0.95,0.8519375,0.95,0,900,14,False,,,0,,6.937160015106201
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,3,335503,0,1.03,55.0,True,False,0.0628430760126849,0.4259800169090435,0.5079095182332192,1.0,1.0,3.864850573204537,0.3243125338817471,0.5547749367111705,0.7450952964401375,1.0,0.75,2.6819514773721105,0.5855637570646813,1.0,0.9285714285714286,3.5268794029667005,1.480925485519749,1.251604029563211,1.0,9.119983788846472,0.9,0.8314999999999999,0.9,0,900,4,False,,,0,,7.398083925247192
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,4,335504,0,1.03,107.0,True,False,0.1139223588850647,0.7529149130372634,0.9229845019722644,0.9,1.0,3.9063067603288864,0.7341149828600968,0.78500420856334,1.12266374943682,0.75,0.75,2.820313972261064,0.9841783914227296,0.8571428571428571,0.9285714285714286,3.596023106595223,2.538109155058794,2.2488277614219765,0.9333333333333332,8.417194988643338,0.85,0.8487500000000001,0.85,0,900,18,False,,,0,,6.79809832572937
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,5,335505,0,1.02,70.0,True,False,0.2145979238776716,1.0216288206886854,1.3273372596582456,0.8,0.7,3.929524382813794,0.2548277987061593,0.7714462663345563,0.8500550007587026,1.0,1.0,2.792255540881224,1.2103310062608643,0.8571428571428571,0.7857142857142857,3.604590427975917,3.2707526470031287,2.960285600426284,0.8666666666666667,9.966821097129325,0.85,0.8645625000000001,0.85,0,900,9,False,,,0,,8.58060359954834
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,6,335506,0,1.02,49.0,False,False,0.3701627359721569,0.684925839738855,0.8196044411156663,1.0,1.0,3.9494754015202314,0.7145070774022662,1.072120238253378,1.197328993373665,1.0,0.75,2.830050625335596,0.9430914692972716,1.0,0.9285714285714286,3.629639751181763,2.1812688965915736,1.890956313711283,1.0,9.295997582596778,0.95,0.8825624999999999,0.95,0,900,12,False,,,0,,6.301768064498901
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,7,335507,0,1.04,67.0,True,False,-0.0295730869601736,0.7641693173418428,0.849276585958225,1.0,0.9,3.838017208099268,0.7603157298881158,0.7603157298881158,0.8549151715751954,1.0,1.0,2.6535458618584995,0.8508914231946219,1.0,0.9285714285714286,3.4995968234590484,2.2327444422574985,1.8777812974027337,0.9833333333333332,9.19878220606641,0.75,0.7815624999999999,0.75,0,900,8,False,,,0,,6.785853147506714
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,8,335508,0,1.03,51.0,True,False,0.2447862638632601,0.8034462610958336,1.0433383074489726,0.8,0.8,3.766384117944063,0.6085154097012615,0.9279412414371012,1.1542407271288837,0.75,1.0,2.7755399614946987,1.076191527781348,0.7857142857142857,0.8571428571428571,3.483285787529959,3.173398705715758,2.790624332195513,0.9333333333333332,9.783498221735869,1.0,0.9190625,1.0,0,900,18,False,,,0,,6.955895662307739
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,9,335509,0,1.03,80.0,True,False,-0.3789544564963001,0.7551695809043331,1.0565862861215114,0.9,1.0,3.999462200037395,0.4386045823000449,0.719153329822086,0.8587232266762593,1.0,0.75,2.9029102321518336,1.0040406978210463,0.9285714285714286,0.9285714285714286,3.686161637784378,1.7948789270918846,1.3686708504489054,0.9833333333333332,8.8145753858314,0.85,0.8569999999999999,0.8,0,900,4,False,,,0,,6.161978483200073
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,10,335510,0,1.06,59.0,False,False,0.1438405880458525,0.6332103471628223,0.902046594881803,1.0,0.8,3.621714232557036,0.3240938251070661,0.7916674201424222,1.0122096513368732,0.75,0.75,2.601224561041942,0.9348473560051171,0.9285714285714286,0.7857142857142857,3.330145754981295,3.7220771483045536,3.510208742664193,0.6333333333333333,8.246677593372125,0.75,0.7805,0.75,0,900,10,False,,,0,,5.961527347564697
