model_name,group,episode,song_id,stimulus_id,mix_id,z_RMS,z_CF,z_SW,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
primary_feature,group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,38.13881368965827,38.202746940618994,5.015418473545064,28.441767420466306,47.327934737372686,1.0,0.0
primary_feature,group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,44.96586978006705,44.93066293161084,5.000589332163264,35.65355052676963,54.56555512828175,1.0,0.0
primary_feature,group_01,FM-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,0.7402857811167308,-1.548717422055362,0.3280479404435016,47.98850644761374,48.07522002418354,4.97860622134622,38.91897232590709,57.45340972947459,1.0,0.0
primary_feature,group_01,FM-1,lead_me,lead_me_du_e,mix_271852ba8676,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,30.42023840066043,30.4793732268959,5.022356262184696,20.48695804264622,39.319887146249556,1.0,0.0
primary_feature,group_01,FM-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,2.9805308263561203,0.8594252384169624,-0.9263284806752846,54.40495664510113,54.44424325288668,4.920417006358166,45.55567054859274,64.35708764034621,1.0,0.0
primary_feature,group_01,FM-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,41.231469552979426,41.21845163755157,4.975135851291342,32.19909398514216,50.50811087979092,1.0,0.0
primary_feature,group_01,FM-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,42.396943686629314,42.378822437269854,4.913498524591855,33.306999759732776,51.560079503730435,1.0,0.0
primary_feature,group_02,EDR-1,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,0.6887214233465396,0.2719152524959843,-0.8693704120952901,74.58946147664255,74.5259678170712,5.3368631748009205,64.46232006631854,84.48289219139963,1.0,0.0
primary_feature,group_02,EDR-1,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,-1.8990066727669184,1.9187185345499165,0.5415536857115313,58.658447146706166,58.57657955601729,5.531801417728454,48.709594924541584,69.49488059484253,1.0,0.0
primary_feature,group_02,EDR-1,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,-1.1193186569455127,1.7918041562064675,0.9713104079970216,27.792552465301473,27.775672853216093,5.42362903373896,17.45141418278459,37.710939348388905,1.0,0.0
primary_feature,group_02,EDR-1,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,-0.6698107538710293,-0.1978340618743536,-1.5468197375217057,51.18134949296183,51.22887684419453,5.37879858895094,40.83016806001419,60.967712413379914,1.0,0.0
primary_feature,group_02,EDR-1,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,-0.6756280657690176,-1.4346341192827423,1.8511013279434223,61.549283868407954,61.464860827758045,5.350932281029311,51.263003993657605,71.47459451309689,1.0,0.0
