parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
participant_ICC,0.4046938889822438,0.4176030504617735,0.0471596476372362,0.3300844417883789,0.5048971291527745,0.0129091614795296,0.0129091614795296,0.0001666464501045,True,0.1748126873643956,moderate_expected,60,4
stimulus_ICC,0.0573573068951996,0.0737654550647013,0.029187852504469,0.0343139796959017,0.1342510781889797,0.0164081481695016,0.0164081481695016,0.0002692273263523,True,0.099937098493078,moderate_expected,60,4
residual_share,0.5379488041225564,0.5086314944735251,0.0433593895475969,0.4220673520589711,0.589445463398955,-0.0293173096490313,0.0293173096490313,0.0008595046450571,True,0.1673781113399838,moderate_expected,60,4
participant_ICC,0.4046938889822438,0.4293035660421704,0.0479497081845112,0.3431647151900795,0.5193440812932734,0.0246096770599266,0.0246096770599266,0.0006056362049938,True,0.1761793661031938,moderate_expected,60,5
stimulus_ICC,0.0573573068951996,0.0701832306594363,0.0341590806933716,0.0223265704478387,0.131633864790542,0.0128259237642366,0.0128259237642366,0.000164504320406,True,0.1093072943427032,moderate_expected,60,5
residual_share,0.5379488041225564,0.5005132032983932,0.0477842350369688,0.414166009010082,0.588927926003978,-0.0374356008241631,0.0374356008241631,0.001401424209066,True,0.1747619169938959,moderate_expected,60,5
participant_ICC,0.4046938889822438,0.4788011907621438,0.0516351596900058,0.3915410836027259,0.5753026012601434,0.0741073017799,0.0741073017799,0.0054918921770971,True,0.1837615176574175,moderate_expected,60,6
stimulus_ICC,0.0573573068951996,0.0528813900329496,0.0236207408833544,0.0186620145864078,0.0970795917184695,-0.00447591686225,0.00447591686225,2.0033831757774542e-05,True,0.0784175771320617,moderate_expected,60,6
residual_share,0.5379488041225564,0.4683174192049065,0.0475694548935477,0.3711903950805644,0.5425067285960204,-0.0696313849176498,0.0696313849176498,0.0048485297655499,True,0.171316333515456,moderate_expected,60,6
participant_ICC,0.4046938889822438,0.4425573397066104,0.0523096718881048,0.3471095389680185,0.5410601488374893,0.0378634507243666,0.0378634507243666,0.0014336409007565,True,0.1939506098694707,moderate_expected,60,7
stimulus_ICC,0.0573573068951996,0.1102358307626062,0.0456733554463262,0.0393874272407204,0.1887009032682297,0.0528785238674065,0.0528785238674065,0.0027961382863958,True,0.1493134760275092,moderate_expected,60,7
residual_share,0.5379488041225564,0.4472068295307832,0.0417638797830268,0.3755698780625489,0.5263144222596059,-0.0907419745917731,0.0907419745917731,0.008234105952814,False,0.1507445441970569,moderate_expected,60,7
participant_ICC,0.4046938889822438,0.441885565742489,0.0498403521706472,0.3641952114524449,0.5514733898053518,0.0371916767602452,0.0371916767602452,0.0013832208202385,True,0.1872781783529069,moderate_expected,60,8
stimulus_ICC,0.0573573068951996,0.0627967902993957,0.0265066248298013,0.0234760074860105,0.1130704391237357,0.005439483404196,0.005439483404196,2.958797970452376e-05,True,0.0895944316377252,moderate_expected,60,8
residual_share,0.5379488041225564,0.4953176439581153,0.0473363713953751,0.4093889190832823,0.5803271070243187,-0.0426311601644411,0.0426311601644411,0.0018174158169662,True,0.1709381879410363,moderate_expected,60,8
participant_ICC,0.4046938889822438,0.3957204920488355,0.0484918718495034,0.2961829152922485,0.4779338983487695,-0.0089733969334082,0.0089733969334082,8.052185252450079e-05,True,0.181750983056521,moderate_expected,60,9
stimulus_ICC,0.0573573068951996,0.0514601036817403,0.0229018285395484,0.016156526860401,0.0920474725606153,-0.0058972032134593,0.0058972032134593,3.477700574083529e-05,True,0.0758909457002143,moderate_expected,60,9
residual_share,0.5379488041225564,0.5528194042694241,0.0487485109826856,0.4641177627696558,0.6446178067799424,0.0148706001468676,0.0148706001468676,0.000221134748728,True,0.1805000440102866,moderate_expected,60,9
participant_ICC,0.4046938889822438,0.3933197452602511,0.0448750988633668,0.3123262184656478,0.4777999998764156,-0.0113741437219926,0.0113741437219926,0.0001293711454085,True,0.1654737814107678,moderate_expected,60,10
stimulus_ICC,0.0573573068951996,0.0545112832099045,0.0236239538294952,0.0165926579555255,0.096794947786115,-0.0028460236852951,0.0028460236852951,8.099850817261106e-06,True,0.0802022898305894,moderate_expected,60,10
residual_share,0.5379488041225564,0.5521689715298443,0.0461456114977285,0.4690089943611973,0.6369695303397185,0.0142201674072879,0.0142201674072879,0.0002022131610912,True,0.1679605359785211,moderate_expected,60,10
participant_ICC,0.4046938889822438,0.3773894941020358,0.0384383245741879,0.3088124191480625,0.4483989575670642,-0.0273043948802079,0.0273043948802079,0.0007455299797743,True,0.1395865384190017,moderate_expected,80,1
stimulus_ICC,0.0573573068951996,0.0804443005988472,0.0316342892293347,0.0331588703813048,0.1366285811226069,0.0230869937036476,0.0230869937036476,0.0005330092782722,True,0.1034697107413021,moderate_expected,80,1
residual_share,0.5379488041225564,0.5421662052991169,0.0359906098115819,0.4773819746181885,0.6094196583331952,0.0042174011765604,0.0042174011765604,1.7786472684053403e-05,True,0.1320376837150066,moderate_expected,80,1
participant_ICC,0.4046938889822438,0.2959956513732119,0.0385213279979319,0.2233467432244248,0.3649146532185424,-0.1086982376090318,0.1086982376090318,0.0118153068593095,False,0.1415679099941175,moderate_expected,80,2
stimulus_ICC,0.0573573068951996,0.0797336517926912,0.031746089665875,0.0270530627448208,0.1367095521892535,0.0223763448974915,0.0223763448974915,0.0005007008109714,True,0.1096564894444327,moderate_expected,80,2
residual_share,0.5379488041225564,0.6242706968340969,0.03736022202577,0.5486736219533795,0.689214812661438,0.0863218927115404,0.0863218927115404,0.0074514691613027,False,0.1405411907080584,moderate_expected,80,2
participant_ICC,0.4046938889822438,0.4271509139761507,0.0455993219301107,0.3352334668555254,0.5049174197827876,0.0224570249939068,0.0224570249939068,0.0005043179715769,True,0.1696839529272621,moderate_expected,80,3
stimulus_ICC,0.0573573068951996,0.0810852846483391,0.0376027106659424,0.0295808860115191,0.1377226257294463,0.0237279777531394,0.0237279777531394,0.0005630169282534,True,0.1081417397179271,moderate_expected,80,3
residual_share,0.5379488041225564,0.4917638013755102,0.0415113274982211,0.4184435147378689,0.5648162219862427,-0.0461850027470461,0.0461850027470461,0.0021330544787446,True,0.1463727072483737,moderate_expected,80,3
participant_ICC,0.4046938889822438,0.3629600014287342,0.0438304158465719,0.2781427973062305,0.4370303289740174,-0.0417338875535095,0.0417338875535095,0.0017417173703289,True,0.1588875316677869,moderate_expected,80,4
stimulus_ICC,0.0573573068951996,0.1184719137267703,0.0439611004123329,0.0551848338118382,0.2002313800265339,0.0611146068315706,0.0611146068315706,0.0037349951681774,True,0.1450465462146957,moderate_expected,80,4
residual_share,0.5379488041225564,0.5185680848444953,0.0415223996455174,0.441372606109663,0.5975342028875767,-0.019380719278061,0.019380719278061,0.000375612279735,True,0.1561615967779137,moderate_expected,80,4
participant_ICC,0.4046938889822438,0.3752690735229843,0.045796736698136,0.294672571899081,0.4632792500111883,-0.0294248154592595,0.0294248154592595,0.0008658197648114,True,0.1686066781121072,moderate_expected,80,5
stimulus_ICC,0.0573573068951996,0.1261690007272567,0.0452815327468561,0.0489972644274536,0.2009279819776071,0.068811693832057,0.068811693832057,0.0047350492080367,True,0.1519307175501534,moderate_expected,80,5
