parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,sign_recovered,hdi_width,scenario,n_participants,replication
z_CF,-1.7,-1.662770830813521,0.8730557566046377,-3.187509596659128,-0.0114327138383203,0.037229169186479,0.037229169186479,0.0013860110383154,True,True,3.176076882820808,moderate_expected,30,5
z_SW,1.9,2.06805858449612,0.8672529262312683,0.4858767713372789,3.776550713092665,0.1680585844961197,0.1680585844961197,0.0282436878228394,True,True,3.2906739417553865,moderate_expected,30,5
episode[EDR-2],-1.4,-1.2729830283866588,0.7899990351254773,-2.630752305928751,0.2862853245412116,0.1270169716133411,0.1270169716133411,0.0161333110778243,True,True,2.9170376304699626,moderate_expected,30,6
episode[FM-1],2.0,2.087507559547502,0.7883550658591468,0.5921620912711567,3.621145162827988,0.0875075595475021,0.0875075595475021,0.0076575729779596,True,True,3.028983071556831,moderate_expected,30,6
group[group_02],1.2,-0.7824790710626729,4.2935182673797465,-10.331368027851786,6.012381892473029,-1.9824790710626727,1.9824790710626727,3.9302232672015176,True,False,16.343749920324814,moderate_expected,30,6
z_RMS,2.2,0.6145730159744445,1.2136675088116888,-1.6524883652823017,2.696322585757181,-1.5854269840255557,1.5854269840255557,2.5135787216763696,True,True,4.348810951039482,moderate_expected,30,6
z_CF,-1.7,-1.4426806028566648,1.3601493339430966,-3.7949545498041246,1.154017831339185,0.2573193971433352,0.2573193971433352,0.0662132721462094,True,True,4.948972381143309,moderate_expected,30,6
z_SW,1.9,0.670890458209385,1.2381018870045848,-1.342773631065601,3.063297072290343,-1.2291095417906148,1.2291095417906148,1.5107102657207352,True,True,4.406070703355944,moderate_expected,30,6
episode[EDR-2],-1.4,-1.5073915305634202,0.7920857082486709,-2.892957971290129,-0.0198959523947199,-0.1073915305634203,0.1073915305634203,0.011532940836754,True,True,2.873062018895409,moderate_expected,30,7
episode[FM-1],2.0,1.465278797093709,0.7771071052640488,-0.0411934727796434,2.7922422892218157,-0.5347212029062911,0.5347212029062911,0.2859267648375509,True,True,2.833435762001459,moderate_expected,30,7
group[group_02],1.2,5.9142959429692645,3.522992035543012,-0.2804637857340308,12.695976117478953,4.714295942969264,4.714295942969264,22.224586237896464,True,True,12.97643990321298,moderate_expected,30,7
