song_id,song_title,group,episode,stimulus_id,mix_id,original_mix_name,true_expected_rating,posterior_mean_expected_rating,posterior_sd_expected_rating,hdi_3%,hdi_97%,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
pouring_room,Pouring Room,group_02,EDR-1,pouring_room_mcg_x,mix_cbf8555ee2b2,McG-X,67.92245993904187,68.15379216008402,3.41291688942712,62.19512110254302,74.63141638210605,0.2313322210421518,0.0535145964922949,True,12.436295279563032,moderate_expected,20,1
pouring_room,Pouring Room,group_02,EDR-2,pouring_room_mcg_x,mix_cbf8555ee2b2,McG-X,66.52245993904187,67.20711348617864,3.376889115186634,61.73261533237722,73.80426136495808,0.6846535471367758,0.4687504796069693,True,12.071646032580858,moderate_expected,20,1
pouring_room,Pouring Room,group_02,FM-1,pouring_room_mcg_x,mix_cbf8555ee2b2,McG-X,69.92245993904187,69.32496981160487,3.38281505517507,63.72450658556034,76.0506661852702,0.5974901274369984,0.3569944523846805,True,12.32615959970986,moderate_expected,20,1
pouring_room,Pouring Room,group_02,EDR-1,pouring_room_mcg_pro1,mix_132e75f34470,McG-pro1,68.39624067803788,69.88117679946187,3.3658256440316827,64.19041450009725,76.78073986934838,1.484936121423985,2.2050352847097074,True,12.590325369251133,moderate_expected,20,1
pouring_room,Pouring Room,group_02,EDR-2,pouring_room_mcg_pro1,mix_132e75f34470,McG-pro1,66.99624067803788,68.93449812555647,3.3099964359704965,62.94617028349273,75.18984661940551,1.9382574475185947,3.756841932861298,True,12.243676335912788,moderate_expected,20,1
pouring_room,Pouring Room,group_02,FM-1,pouring_room_mcg_pro1,mix_132e75f34470,McG-pro1,70.39624067803788,71.0523544509827,3.305768737505129,65.15884176454732,77.37646433661618,0.6561137729448205,0.4304852830478875,True,12.217622572068862,moderate_expected,20,1
pouring_room,Pouring Room,group_02,EDR-1,pouring_room_mcg_v,mix_e08faaf8bbb3,McG-V,70.6665604797902,68.2664159786123,3.3334353066198306,62.68717794702456,74.69605155592355,2.400144501177905,5.760693626534537,True,12.008873608898988,moderate_expected,20,1
pouring_room,Pouring Room,group_02,EDR-2,pouring_room_mcg_v,mix_e08faaf8bbb3,McG-V,69.2665604797902,67.3197373047069,3.312849066375412,61.25033273242836,73.31114842173942,1.946823175083296,3.790120475041405,True,12.060815689311063,moderate_expected,20,1
pouring_room,Pouring Room,group_02,FM-1,pouring_room_mcg_v,mix_e08faaf8bbb3,McG-V,72.6665604797902,69.43759363013314,3.300392139976713,64.00265279213339,76.21552639509086,3.22896684965707,10.426226916184302,True,12.212873602957472,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-1,lead_me_du_d,mix_f1f7973e5bac,DU-D,71.41185599807457,70.5421935311257,3.548103304469397,64.07314995325558,77.04947139659676,0.8696624669488671,0.7563128064195893,True,12.976321443341178,moderate_expected,20,2
lead_me,Lead Me,group_01,EDR-2,lead_me_du_d,mix_f1f7973e5bac,DU-D,70.01185599807457,70.23824719608302,3.5868182635803443,63.378609924985135,76.60097362867532,0.2263911980084572,0.0512529745357044,True,13.222363703690185,moderate_expected,20,2
