original_path,final_path,filename,sha256_before,sha256_after,classification,action,reason,reference_count_before,validation_status,notes
outputs/stimulus_selection/final_mix_selection_summary.csv,outputs/stimulus_selection/04_mix_selection/tables/final_mix_selection_summary.csv,final_mix_selection_summary.csv,d580b732d9de3505b04ace35d30d00963850c183c4a27699f4821a37305c6709,d580b732d9de3505b04ace35d30d00963850c183c4a27699f4821a37305c6709,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/four_song_selection.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/four_song_selection.csv,four_song_selection.csv,05458ad9227f09223a4ebe9ec914b7b506e451c69776eb3cb68af84341fa45a0,05458ad9227f09223a4ebe9ec914b7b506e451c69776eb3cb68af84341fa45a0,01_dataset_and_song_selection,moved,dataset and song-selection table,0,PASS,
outputs/stimulus_selection/four_song_selection_report.md,outputs/stimulus_selection/01_dataset_and_song_selection/reports/four_song_selection_report.md,four_song_selection_report.md,508802d904a3f2ab58f23eb1f691af009e7f4f2b30836702da46ee8ca5da0138,508802d904a3f2ab58f23eb1f691af009e7f4f2b30836702da46ee8ca5da0138,01_dataset_and_song_selection,moved,dataset and song-selection report,0,PASS,
outputs/stimulus_selection/institution_mapping_report.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/institution_mapping_report.csv,institution_mapping_report.csv,c1d3567dc2321521889352ac5fbd4bdccd20bb54668f780d66a9b17598e6a42a,c1d3567dc2321521889352ac5fbd4bdccd20bb54668f780d66a9b17598e6a42a,01_dataset_and_song_selection,moved,dataset and song-selection table,2,PASS,
outputs/stimulus_selection/manual_review_candidate_summary.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/manual_review_candidate_summary.csv,manual_review_candidate_summary.csv,3d99519ed8ca8499112a1f62360f0e9dcd53cba2cae4545366bc75a360df7aef,3d99519ed8ca8499112a1f62360f0e9dcd53cba2cae4545366bc75a360df7aef,01_dataset_and_song_selection,moved,dataset and song-selection table,2,PASS,
outputs/stimulus_selection/manual_review_candidate_summary.md,outputs/stimulus_selection/01_dataset_and_song_selection/reports/manual_review_candidate_summary.md,manual_review_candidate_summary.md,9da40a77a527b6f7c0b9233a360dbc66d85dea55e1153af544b586e3287cf6e0,9da40a77a527b6f7c0b9233a360dbc66d85dea55e1153af544b586e3287cf6e0,01_dataset_and_song_selection,moved,dataset and song-selection report,4,PASS,
outputs/stimulus_selection/mix_inventory.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/mix_inventory.csv,mix_inventory.csv,722155b64d04597476678e459e645f6ae9b4bd407f6c52d68342082eebd4580e,722155b64d04597476678e459e645f6ae9b4bd407f6c52d68342082eebd4580e,01_dataset_and_song_selection,moved,dataset and song-selection table,9,PASS,
outputs/stimulus_selection/mix_name_mapping.csv,outputs/stimulus_selection/logs_and_provenance/mix_name_mapping.csv,mix_name_mapping.csv,457cb046ec3947e383de044b728063cf84a6de4204b3696d6edb3113916a546c,457cb046ec3947e383de044b728063cf84a6de4204b3696d6edb3113916a546c,logs_and_provenance,moved,migration/provenance record,1,PASS,
outputs/stimulus_selection/original_name_migration_log.csv,outputs/stimulus_selection/logs_and_provenance/original_name_migration_log.csv,original_name_migration_log.csv,666b53f220a3b64e137861c9a3d42d8c1494da8763e6329dc3c590c3b0a9300b,666b53f220a3b64e137861c9a3d42d8c1494da8763e6329dc3c590c3b0a9300b,logs_and_provenance,moved,migration/provenance record,1,PASS,
outputs/stimulus_selection/original_name_migration_report.md,outputs/stimulus_selection/logs_and_provenance/original_name_migration_report.md,original_name_migration_report.md,1db85cb8cad2c2287ac5106d6a68b37c81964e8cfd80c7b2064e3b6e75c0a5f6,1db85cb8cad2c2287ac5106d6a68b37c81964e8cfd80c7b2064e3b6e75c0a5f6,logs_and_provenance,moved,migration/provenance record,0,PASS,
outputs/stimulus_selection/pairwise_distances.csv,outputs/stimulus_selection/04_mix_selection/tables/pairwise_distances.csv,pairwise_distances.csv,cbf17d96014b61a1ea2fcc4209581204f4137c0130d96c09a123ea2cf8e75a3f,cbf17d96014b61a1ea2fcc4209581204f4137c0130d96c09a123ea2cf8e75a3f,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/preview_cleanup_report.md,outputs/stimulus_selection/logs_and_provenance/preview_cleanup_report.md,preview_cleanup_report.md,bca3e115c625a34a6583ba9992aa73ee62a729c0cafd19de1045b2745fa1bab0,bca3e115c625a34a6583ba9992aa73ee62a729c0cafd19de1045b2745fa1bab0,logs_and_provenance,moved,migration/provenance record,3,PASS,
outputs/stimulus_selection/processed_features.csv,outputs/stimulus_selection/04_mix_selection/tables/processed_features.csv,processed_features.csv,8288fbe468ec6be4ca2aa7f6940a3773c99e9f56a6d1415be6bbe7e6ee62a43c,8288fbe468ec6be4ca2aa7f6940a3773c99e9f56a6d1415be6bbe7e6ee62a43c,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/raw_diffmst_features.csv,outputs/stimulus_selection/03_feature_extraction/tables/raw_diffmst_features.csv,raw_diffmst_features.csv,ee91b967dd9f099fdee7ae7460ce661e4a908bdfa6d433785549627620b1552e,ee91b967dd9f099fdee7ae7460ce661e4a908bdfa6d433785549627620b1552e,03_feature_extraction,moved,feature extraction table,6,PASS,
outputs/stimulus_selection/recommended_triplets.csv,outputs/stimulus_selection/04_mix_selection/tables/recommended_triplets.csv,recommended_triplets.csv,c981f7b67fc438da5bfdfb52c2c521114559d7f7484e9e174aa36c4a0ee7ce67,c981f7b67fc438da5bfdfb52c2c521114559d7f7484e9e174aa36c4a0ee7ce67,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/reference_equivalence_report.csv,outputs/stimulus_selection/03_feature_extraction/tables/reference_equivalence_report.csv,reference_equivalence_report.csv,256455da8d4dab4433583997b1d2aa40b6b4a60d9f99bb301d7fd19fafa012b5,256455da8d4dab4433583997b1d2aa40b6b4a60d9f99bb301d7fd19fafa012b5,03_feature_extraction,moved,feature extraction table,4,PASS,
outputs/stimulus_selection/scalar_preprocessing_parameters.csv,outputs/stimulus_selection/04_mix_selection/tables/scalar_preprocessing_parameters.csv,scalar_preprocessing_parameters.csv,5d7125b945a7d35c5c93d07859745c61477a64f9268273d5b48f6ec52be732db,5d7125b945a7d35c5c93d07859745c61477a64f9268273d5b48f6ec52be732db,04_mix_selection,moved,computational mix-selection table,2,PASS,
outputs/stimulus_selection/selected_mix_review_manifest.csv,outputs/stimulus_selection/04_mix_selection/tables/selected_mix_review_manifest.csv,selected_mix_review_manifest.csv,30a0a3592751d55c7d6d0068f5e50f2f0e548ddb5a1dd0a6744ddb6c0880e19c,30a0a3592751d55c7d6d0068f5e50f2f0e548ddb5a1dd0a6744ddb6c0880e19c,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/selection_method_comparison.csv,outputs/stimulus_selection/04_mix_selection/tables/selection_method_comparison.csv,selection_method_comparison.csv,a44d8ecac0d21c2aa79e321e4eb463309d3c1eb53b33b855bce4b0969764f755,a44d8ecac0d21c2aa79e321e4eb463309d3c1eb53b33b855bce4b0969764f755,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/song_summary.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/song_summary.csv,song_summary.csv,9333f10b0bf082356fa8a1be46f61f9e0b1acc082211ab7752ac6b42d99667a2,9333f10b0bf082356fa8a1be46f61f9e0b1acc082211ab7752ac6b42d99667a2,01_dataset_and_song_selection,moved,dataset and song-selection table,2,PASS,
outputs/stimulus_selection/source_track_mapping.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/source_track_mapping.csv,source_track_mapping.csv,e836ddc157f5324632866061f253ca474baf3b1456638ca4528727965c402435,e836ddc157f5324632866061f253ca474baf3b1456638ca4528727965c402435,01_dataset_and_song_selection,moved,dataset and song-selection table,1,PASS,
outputs/stimulus_selection/stage4_manual_review.csv,outputs/stimulus_selection/05_manual_review/tables/stage4_manual_review.csv,stage4_manual_review.csv,60492d2672151107a185bfc4c37efe5a3120a75e5a4891590ff50476ce404926,60492d2672151107a185bfc4c37efe5a3120a75e5a4891590ff50476ce404926,05_manual_review,moved,manual review approval table,2,PASS,
outputs/stimulus_selection/stage4_manual_review_instructions.md,outputs/stimulus_selection/05_manual_review/instructions/stage4_manual_review_instructions.md,stage4_manual_review_instructions.md,662736b18b4916964d14588b943ca2b12de157d953a9fcc76df10ed58df73286,662736b18b4916964d14588b943ca2b12de157d953a9fcc76df10ed58df73286,05_manual_review,moved,manual review instructions,0,PASS,
outputs/stimulus_selection/validation_failures.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/validation_failures.csv,validation_failures.csv,35aea1f8021ece057a2ce4b6a7f3f851c0430bcf675ca291d49d504876cfa3e4,35aea1f8021ece057a2ce4b6a7f3f851c0430bcf675ca291d49d504876cfa3e4,01_dataset_and_song_selection,moved,dataset and song-selection table,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/In The Meantime/DU-H_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/In The Meantime/DU-H_28sec_preview.wav,DU-H_28sec_preview.wav,952a6ed3f34ec4c811985fb71f03a8f389d8149c2b551d4ba652bffc4981b92e,952a6ed3f34ec4c811985fb71f03a8f389d8149c2b551d4ba652bffc4981b92e,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/In The Meantime/McG-A_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/In The Meantime/McG-A_28sec_preview.wav,McG-A_28sec_preview.wav,4e9be136c31ccd2ad7de0b13c8d8f4c91f51e61e2248d879920a4c32671f152a,4e9be136c31ccd2ad7de0b13c8d8f4c91f51e61e2248d879920a4c32671f152a,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/In The Meantime/PXL-S1_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/In The Meantime/PXL-S1_28sec_preview.wav,PXL-S1_28sec_preview.wav,27df13fae04e383ec4ca8d7b1ad36cad6ba5c2139c3e0c981491c354711dc764,27df13fae04e383ec4ca8d7b1ad36cad6ba5c2139c3e0c981491c354711dc764,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Lead Me/CNS-5_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Lead Me/CNS-5_28sec_preview.wav,CNS-5_28sec_preview.wav,64f7ce4dd23007b10482c1b67e2cf787f09855b13eb4b3c7399fe2c7455627a9,64f7ce4dd23007b10482c1b67e2cf787f09855b13eb4b3c7399fe2c7455627a9,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Lead Me/DU-A_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Lead Me/DU-A_28sec_preview.wav,DU-A_28sec_preview.wav,9962a089b3afbb76de38e0037b9fd167c9c78550a90b26794df482e4f8535c26,9962a089b3afbb76de38e0037b9fd167c9c78550a90b26794df482e4f8535c26,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Lead Me/McG-A_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Lead Me/McG-A_28sec_preview.wav,McG-A_28sec_preview.wav,f2be61d70dc8c48e963715cd9a4c65839d6056f46157146ee04aeb26b4f6c35a,f2be61d70dc8c48e963715cd9a4c65839d6056f46157146ee04aeb26b4f6c35a,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Pouring Room/McG-Q_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Pouring Room/McG-Q_28sec_preview.wav,McG-Q_28sec_preview.wav,1faaa6ac3b4147625e255400c6f959fcb7cd8d761f3538e503746a7d235927f9,1faaa6ac3b4147625e255400c6f959fcb7cd8d761f3538e503746a7d235927f9,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Pouring Room/McG-R_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Pouring Room/McG-R_28sec_preview.wav,McG-R_28sec_preview.wav,8a48ebfe6a504ca5da3c4fc2d76f3cd0a23d9824b2639fbfaa000a259feef0b9,8a48ebfe6a504ca5da3c4fc2d76f3cd0a23d9824b2639fbfaa000a259feef0b9,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Pouring Room/McG-T_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Pouring Room/McG-T_28sec_preview.wav,McG-T_28sec_preview.wav,5357a73a4a3e8ea9fc43d2c46a82935521a2c83c4bd8fa91c90791e79eca6a91,5357a73a4a3e8ea9fc43d2c46a82935521a2c83c4bd8fa91c90791e79eca6a91,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Red To Blue/McG-A_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Red To Blue/McG-A_28sec_preview.wav,McG-A_28sec_preview.wav,571239e2f4f72bb9d30ee656ac91242c24eb852a38259bbbc1ee92a05823dea7,571239e2f4f72bb9d30ee656ac91242c24eb852a38259bbbc1ee92a05823dea7,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Red To Blue/McG-B_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Red To Blue/McG-B_28sec_preview.wav,McG-B_28sec_preview.wav,9eb7e8823ada174535329e7dace1f71c03e64774c670807ec62758e19b473958,9eb7e8823ada174535329e7dace1f71c03e64774c670807ec62758e19b473958,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/approved_excerpt_previews/Red To Blue/McG-C_28sec_preview.wav,outputs/stimulus_selection/02_excerpt_selection/approved_excerpt_previews/Red To Blue/McG-C_28sec_preview.wav,McG-C_28sec_preview.wav,a85c03c3d337e204bbe4aa28f0a30272c3695f3812e2946fb233472be229e31c,a85c03c3d337e204bbe4aa28f0a30272c3695f3812e2946fb233472be229e31c,02_excerpt_selection,moved,approved excerpt preview audio,2,PASS,
outputs/stimulus_selection/diagnostic_figures/fredy_v_in_the_meantime/activity_curve_with_candidate_windows.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/fredy_v_in_the_meantime/activity_curve_with_candidate_windows.png,activity_curve_with_candidate_windows.png,7f9b19c340812278a6083f589d3f770fa6ad160cd5ee16f781ab81f6461e3ee0,7f9b19c340812278a6083f589d3f770fa6ad160cd5ee16f781ab81f6461e3ee0,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
outputs/stimulus_selection/diagnostic_figures/fredy_v_in_the_meantime/alignment_confidence_by_mix.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/fredy_v_in_the_meantime/alignment_confidence_by_mix.png,alignment_confidence_by_mix.png,e726df22a5b4e385fe5033fb38dddbc571964b48fcce47aecf1bff31dd70ad4e,e726df22a5b4e385fe5033fb38dddbc571964b48fcce47aecf1bff31dd70ad4e,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
outputs/stimulus_selection/diagnostic_figures/fredy_v_in_the_meantime/alignment_lag_distribution.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/fredy_v_in_the_meantime/alignment_lag_distribution.png,alignment_lag_distribution.png,4095d0f4f899dc578bfc0209c9c0ecdf2bc49111ea5defcdc20ebed6fa5f8573,4095d0f4f899dc578bfc0209c9c0ecdf2bc49111ea5defcdc20ebed6fa5f8573,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
outputs/stimulus_selection/diagnostic_figures/fredy_v_in_the_meantime/common_overlap_timeline.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/fredy_v_in_the_meantime/common_overlap_timeline.png,common_overlap_timeline.png,478f11242612a468be2c453076d99f3f607e7acd043055e7acb4d114cf1563a2,478f11242612a468be2c453076d99f3f607e7acd043055e7acb4d114cf1563a2,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
outputs/stimulus_selection/diagnostic_figures/the_donefors_lead_me/activity_curve_with_candidate_windows.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/the_donefors_lead_me/activity_curve_with_candidate_windows.png,activity_curve_with_candidate_windows.png,2a771516aeca6f37e3903ffde80f65dfa96d919aa46aca7ec7d50efc70bb7cd9,2a771516aeca6f37e3903ffde80f65dfa96d919aa46aca7ec7d50efc70bb7cd9,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
outputs/stimulus_selection/diagnostic_figures/the_donefors_lead_me/alignment_confidence_by_mix.png,outputs/stimulus_selection/02_excerpt_selection/diagnostics/diagnostic_figures/the_donefors_lead_me/alignment_confidence_by_mix.png,alignment_confidence_by_mix.png,9e6019325f91f0477c020e0826f874d0c4572b86d9723d7af85c22e84fe8f4e4,9e6019325f91f0477c020e0826f874d0c4572b86d9723d7af85c22e84fe8f4e4,02_excerpt_selection,moved,alignment/excerpt diagnostics,2,PASS,
