artist,song,mix_id,institution_code,original_dataset_filename,original_mix_name,original_source_path,mapping_valid,mapping_notes
Fredy V,In The Meantime,mix_3042da8a2eb5,UCP,UCP-A1.mp3,UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_526612c31256,PXL,PXL-S7.mp3,PXL-S7,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S7.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_5383540067d5,McG,McG-B.mp3,McG-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-B.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_54ac02ce9456,PXL,PXL-S5.mp3,PXL-S5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S5.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_561c0e17caee,DU,DU-L.mp3,DU-L,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_56e65a3ce054,DU,DU-K.mp3,DU-K,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_67624d91340a,PXL,PXL-S4.mp3,PXL-S4,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S4.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_690c5c454a9f,McG,McG-pro2.mp3,McG-pro2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-pro2.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_6cfa655049d5,DU,DU-M.mp3,DU-M,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_7a5719f17171,McG,McG-E.mp3,McG-E,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-E.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_8137541fd01f,PXL,PXL-S3.mp3,PXL-S3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S3.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_8187ac605f62,QUT,QUT-J.mp3,QUT-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-J.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_82d5489162f9,QUT,QUT-C.mp3,QUT-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-C.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_8ffed8205048,McG,McG-A.mp3,McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_96c30e75e4a7,McG,McG-H.mp3,McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_9baa86357fd4,DU,DU-I.mp3,DU-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,true,derived from source_path basename
