song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00010,4,0.93894694868,McG-R|McG-pro1|McG-X,mix_0ba76f420c1d|mix_132e75f34470|mix_cbf8555ee2b2,0.391331|0.741587|0.326821,medium|high|low,0.414765609834,2.12138547376,2.49142992842,0.893499647169,0.970736154724,0.03,0,clear|clear|clear,false|false|false,40|40|40,2,McG-R|McG-X,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00020,5,0.77196430075,McG-R|McG-T|McG-V,mix_0ba76f420c1d|mix_be2ccd4c43ff|mix_e08faaf8bbb3,0.391331|0.315779|0.510319,medium|low|high,0.194540044024,2.05828285308,2.38653682629,0.830674378083,0.387123991417,0.03,0,clear|clear|clear,false|false|false,40|40|40,2,McG-R|McG-T,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00044,6,0.765764782828,McG-pro1|McG-T|McG-X,mix_132e75f34470|mix_be2ccd4c43ff|mix_cbf8555ee2b2,0.741587|0.315779|0.326821,high|low|low,0.425808297579,1.88514897969,2.31475180575,0.707205978536,1,0,0,clear|clear|clear,false|false|false,40|40|40,2,McG-T|McG-X,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00025,7,0.741468689069,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,0.608828|0.741587|0.326821,high|high|low,0.414765609834,1.92838325294,2.0946650109,0.684151822656,0.970736154724,0,0,clear|clear|clear,false|false|false,40|40|40,1,McG-X,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00021,8,0.703390896794,McG-R|McG-X|McG-V,mix_0ba76f420c1d|mix_cbf8555ee2b2|mix_e08faaf8bbb3,0.391331|0.326821|0.510319,medium|low|high,0.183497356279,1.9297504407,2.39181594373,0.752273584457,0.357860146141,0.03,0,clear|clear|clear,false|false|false,40|40|40,2,McG-R|McG-X,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00051,9,0.690711687301,McG-U|McG-T|McG-V,mix_37681ed84b6b|mix_be2ccd4c43ff|mix_e08faaf8bbb3,0.459459|0.315779|0.510319,medium|low|high,0.194540044024,1.94282540096,2.25373373245,0.729108611272,0.387123991417,0.03,0,clear|clear|clear,false|false|false,40|40|40,1,McG-T,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00052,10,0.662296156903,McG-U|McG-X|McG-V,mix_37681ed84b6b|mix_cbf8555ee2b2|mix_e08faaf8bbb3,0.459459|0.326821|0.510319,medium|low|high,0.183497356279,1.9297504407,2.16492406377,0.700905159593,0.357860146141,0.03,0,clear|clear|clear,false|false|false,40|40|40,1,McG-X,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00059,1,0.826455288743,McG-B|McG-G|McG-F,mix_7ac13e0b6376|mix_b4b312ffa4d6|mix_dcc6aef84d67,0.527445|0.513282|0.320185,medium|medium|low,0.207260722208,2.59969815564,2.74048811256,0.990141444634,0.421710665179,0,0.05,review|clear|clear,true|false|false,26|26|26,3,McG-B|McG-F|McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00023,2,0.796060580195,McG-C|McG-G|McG-F,mix_5143d2ee3859|mix_b4b312ffa4d6|mix_dcc6aef84d67,0.589852|0.513282|0.320185,high|medium|low,0.269667453641,2.23642122835,2.47348397246,0.80453844179,0.612149133816,0.03,0,clear|clear|clear,false|false|false,26|26|26,2,McG-F|McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00075,3,0.782946994895,McG-D|McG-G|McG-F,mix_8978729ff911|mix_b4b312ffa4d6|mix_dcc6aef84d67,0.401689|0.513282|0.320185,low|medium|low,0.193097250492,2.40210411945,2.56433410661,0.884061281355,0.378489849055,0,0,clear|clear|clear,false|false|false,26|26|26,2,McG-F|McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00082,4,0.779461697354,McG-G|McG-F|McG-E,mix_b4b312ffa4d6|mix_dcc6aef84d67|mix_f4f9bdec5b71,0.513282|0.320185|0.716951,medium|low|high,0.396766274669,2.00224974868,2.31301259983,0.686827121692,1,0.03,0,clear|clear|clear,false|false|false,26|26|26,2,McG-F|McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00016,5,0.732257652867,McG-C|McG-pro1|McG-F,mix_5143d2ee3859|mix_808780e357c9|mix_dcc6aef84d67,0.589852|0.361486|0.320185,high|low|low,0.269667453641,2.07673702912,2.59336515177,0.76228478263,0.612149133816,0,0,clear|clear|clear,false|false|false,26|26|26,1,McG-F,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00069,6,0.729728869898,McG-pro1|McG-G|McG-F,mix_808780e357c9|mix_b4b312ffa4d6|mix_dcc6aef84d67,0.361486|0.513282|0.320185,low|medium|low,0.193097250492,2.17469013793,2.69677620418,0.817538625108,0.378489849055,0,0,clear|clear|clear,false|false|false,26|26|26,2,McG-F|McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00052,7,0.728227955385,McG-B|McG-pro1|McG-F,mix_7ac13e0b6376|mix_808780e357c9|mix_dcc6aef84d67,0.527445|0.361486|0.320185,medium|low|low,0.207260722208,2.25877221386,2.79995537769,0.867357277936,0.421710665179,0,0.05,review|clear|clear,true|false|false,26|26|26,2,McG-B|McG-F,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00015,8,0.679922520901,McG-C|McG-pro1|McG-G,mix_5143d2ee3859|mix_808780e357c9|mix_b4b312ffa4d6,0.589852|0.361486|0.513282,high|low|medium,0.228365662709,2.07673702912,2.1626161318,0.69087468746,0.486113854665,0.03,0,clear|clear|clear,false|false|false,26|26|26,1,McG-G,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00073,9,0.674051876424,McG-pro1|McG-F|McG-E,mix_808780e357c9|mix_dcc6aef84d67|mix_f4f9bdec5b71,0.361486|0.320185|0.716951,low|low|high,0.396766274669,1.72551509663,2.39387696154,0.59256484553,1,0,0,clear|clear|clear,false|false|false,26|26|26,1,McG-F,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Red To Blue,Wide Ratings,RedToBlue_WideRatings_00029,10,0.671447182589,McG-H|McG-B|McG-pro1,mix_5b76bf1a027d|mix_7ac13e0b6376|mix_808780e357c9,0.444789|0.527445|0.361486,medium|medium|low,0.165958931276,2.25877221386,2.5618877136,0.827890131729,0.295675386029,0,0.05,clear|review|clear,false|true|false,26|26|26,1,McG-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
