artist,song,mix_i_original_name,mix_j_original_name,mix_i_id,mix_j_id,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag
Broken Crank,Red To Blue,McG-A,McG-E,mix_e2654ec905ad,mix_f4f9bdec5b71,0.800517955377,0.600316346716,0.529574622454,0.748698695867,2.04016971373,0
Fredy V,In The Meantime,McG-pro,QUT-A,mix_027ec3f8b8f1,mix_13f0eed08780,2.19365325632,1.74303693553,1.33189220673,2.2978048052,4.91663786889,0
Fredy V,In The Meantime,McG-pro,McG-C,mix_027ec3f8b8f1,mix_145577f61939,1.63662579686,1.21201514765,1.09980147335,1.14255102823,3.77065018639,0
Fredy V,In The Meantime,McG-pro,UCP-A2,mix_027ec3f8b8f1,mix_20a1372ac49d,0.860123851182,0.509642510205,0.692876288498,0.792644071867,2.46416337219,0
Fredy V,In The Meantime,McG-pro,DU-J,mix_027ec3f8b8f1,mix_22efc79c8253,2.13235670637,1.71513655239,1.26698529189,2.39636174181,4.61400449098,0
Fredy V,In The Meantime,McG-pro,DU-N,mix_027ec3f8b8f1,mix_29131e66c9d7,1.70568919266,0.798289968794,1.50735156738,1.69338387401,4.7560796001,0
Fredy V,In The Meantime,McG-pro,PXL-S2,mix_027ec3f8b8f1,mix_2d589c003982,0.862648234406,0.522771001726,0.686201469015,0.736623885925,2.39609634059,0
Fredy V,In The Meantime,McG-pro,PXL-S1,mix_027ec3f8b8f1,mix_2eae3034bad8,1.19677488943,0.686575073294,0.980247318133,1.26498461978,2.9080749164,0
Fredy V,In The Meantime,McG-pro,QUT-I,mix_027ec3f8b8f1,mix_2f518e7b8633,1.07214282362,0.880847546884,0.611226499247,1.12516878553,2.71681216156,0
Fredy V,In The Meantime,McG-pro,DU-H,mix_027ec3f8b8f1,mix_302f0efe8a80,2.62807408065,1.82673841355,1.88939147395,1.91518391257,5.1938640842,0
