artist,song,original_mix_name,original_dataset_filename,mix_id,institution_code,pool_rank,pool_selection_order,pool_selection_method,distance_to_existing_pool_at_selection,distance_from_medoid,nearest_neighbour_distance,acoustic_outlier_score,stereo_imbalance,stereo_imbalance_qc_flag,rating_status,technical_qc_status,manual_review_required,selection_notes
The DoneFors,Lead Me,DU-A,DU-A.mp3,mix_8f1477339518,DU,9,9,farthest_point_acoustic,1.68878604943,1.7931949206,1.38279048726,3.98077719997,-0.0203399658203,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,QUT,10,10,farthest_point_acoustic,1.63588935399,1.63588935399,1.1993533712,3.58595383152,0.0952272340655,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,DU-F,DU-F.mp3,mix_3a41a8db47bc,DU,11,11,farthest_point_acoustic,1.43128774226,1.85604740305,1.43128774226,5.0136813458,0.0728241205215,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,DU-B,DU-B.mp3,mix_7cdfb2503e88,DU,12,12,farthest_point_acoustic,1.39816733747,1.4329839002,0.977790025182,3.00486995465,-0.0496885962784,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,CNS-B,CNS-B.mp3,mix_7734100f29f3,CNS,13,13,farthest_point_acoustic,1.38978826728,1.38978826728,0.976468028715,3.37457618372,0.0687446296215,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,UCP-A2,UCP-A2.mp3,mix_a5df7e0b4222,UCP,14,14,farthest_point_acoustic,1.38279048726,1.75713872762,1.2059726578,4.00672522688,0.0635225251317,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,DU-C,DU-C.mp3,mix_a321c1267965,DU,15,15,farthest_point_acoustic,1.27233511508,1.27233511508,1.11125630291,3.08115348959,0.0167669635266,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,PXL-L2,PXL-L2.mp3,mix_92e2bdebe300,PXL,16,16,farthest_point_acoustic,1.25915273732,1.9567425778,1.25915273732,4.94697241268,0.092840410769,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,McG-pro2,McG-pro2.mp3,mix_d3e3580b6e30,McG,17,17,farthest_point_acoustic,1.25271940488,1.34068293977,1.04314448596e-16,3.00485288822,-0.00143597240094,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,McG-H,McG-H.mp3,mix_427e3b105a59,McG,18,18,farthest_point_acoustic,1.24484485785,1.24484485785,0.711352249321,2.75434586505,0.0450452305377,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,McG-B,McG-B.mp3,mix_5aa762fa5def,McG,19,19,farthest_point_acoustic,1.24358119254,1.34734023578,0.904224410539,3.35496209684,-0.0219697598368,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,QUT-H,QUT-H.mp3,mix_542ca972e5f6,QUT,20,20,farthest_point_acoustic,1.23314937975,1.95408545835,1.23314937975,5.09449017527,-0.102294452488,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Pouring Room,McG-R,McG-R.mp3,mix_0ba76f420c1d,McG,1,1,all_valid_retained,1.3869311358,1.3869311358,1.3869311358,3.93632008071,-0.0638295859098,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-Q,McG-Q.mp3,mix_0ddb25d6180b,McG,2,2,all_valid_retained,1.38475797333,1.38475797333,1.38475797333,3.02731926834,0.0562552511692,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-pro1,McG-pro1.mp3,mix_132e75f34470,McG,3,3,all_valid_retained,1.63812193496,1.63812193496,1.915750571e-16,3.75222647934,-0.0488145165145,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-U,McG-U.mp3,mix_37681ed84b6b,McG,4,4,all_valid_retained,1.64366938583,1.64366938583,1.50639550314,3.67814604942,0.0272651258856,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-W,McG-W.mp3,mix_786fc67a9418,McG,5,5,all_valid_retained,0,0,1.11312571422,1.12604326276,0.164418786764,true,previously_evaluated,review_required,true,all retained valid mixes included
The DoneFors,Pouring Room,McG-pro,McG-pro.mp3,mix_9f79c0810c7e,McG,6,6,all_valid_retained,1.63812193496,1.63812193496,1.915750571e-16,3.75222647934,-0.0488145165145,false,not_yet_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-T,McG-T.mp3,mix_be2ccd4c43ff,McG,7,7,all_valid_retained,2.20245894267,2.20245894267,1.67105949867,5.04483156186,-0.0455747283995,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-X,McG-X.mp3,mix_cbf8555ee2b2,McG,8,8,all_valid_retained,2.52204382659,2.52204382659,1.88514897969,4.68480321972,-0.0265915170312,false,previously_evaluated,ok,false,all retained valid mixes included
The DoneFors,Pouring Room,McG-V,McG-V.mp3,mix_e08faaf8bbb3,McG,9,9,all_valid_retained,1.11312571422,1.11312571422,1.11312571422,2.42838782458,-0.0483895651996,false,previously_evaluated,ok,false,all retained valid mixes included
