artist,song,original_mix_name,original_dataset_filename,mix_id,stereo_imbalance,absolute_stereo_imbalance,within_song_median_absolute_stereo_imbalance,within_song_robust_scale,robust_qc_score,qc_flag,qc_reason,review_required,review_priority
The DoneFors,Lead Me,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,0.109930999577,0.109930999577,0.0521329641342,0.0524336325008,1.10230843613,false,,false,normal
The DoneFors,Lead Me,UCP-A1,UCP-A1.mp3,mix_d2a4240adfd8,0.0633927956223,0.0633927956223,0.0521329641342,0.0524336325008,0.214744448383,false,,false,normal
The DoneFors,Lead Me,QUT-pro,QUT-pro.mp3,mix_d2cf329ea054,0.0660968273878,0.0660968273878,0.0521329641342,0.0524336325008,0.266315007898,false,,false,normal
The DoneFors,Lead Me,McG-pro2,McG-pro2.mp3,mix_d3e3580b6e30,-0.00143597240094,0.00143597240094,0.0521329641342,0.0524336325008,-0.966879258889,false,,false,normal
The DoneFors,Lead Me,PXL-L1,PXL-L1.mp3,mix_d5b28dfc8a93,-0.0129087874666,0.0129087874666,0.0521329641342,0.0524336325008,-0.748072845553,false,,false,normal
The DoneFors,Lead Me,McG-G,McG-G.mp3,mix_e0abc393175b,0.00395887438208,0.00395887438208,0.0521329641342,0.0524336325008,-0.918763157433,false,,false,normal
The DoneFors,Lead Me,McG-F,McG-F.mp3,mix_e245880b329a,-0.0665384158492,0.0665384158492,0.0521329641342,0.0524336325008,0.274736863115,false,,false,normal
The DoneFors,Lead Me,CNS-D,CNS-D.mp3,mix_e81c71fd1462,-0.027527326718,0.027527326718,0.0521329641342,0.0524336325008,-0.469272034811,false,,false,normal
The DoneFors,Lead Me,DU-D,DU-D.mp3,mix_f1f7973e5bac,-0.0521329641342,0.0521329641342,0.0521329641342,0.0524336325008,0,false,,false,normal
The DoneFors,Lead Me,DU-G,DU-G.mp3,mix_f5d86db961c3,0.181385606527,0.181385606527,0.0521329641342,0.0524336325008,2.46507129543,false,,false,normal
